# ---- session start 2026-06-19T14:00:10+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:00:11.949 BOOT
2026-06-19T14:00:13.450  
2026-06-19T14:00:13.453  
2026-06-19T14:00:13.455 >> CodeCell C6 v2.0.6 Booting.. 
2026-06-19T14:00:13.767 >> Initializing Sensors: Compass-Free Rotation Sensing Activated | 
2026-06-19T14:00:14.022 >> Reading Sensors:  Roll: 99.62°, Pitch: -98.40°, Yaw: -102.30° |
2026-06-19T14:00:14.025 >> Sampling Rate: 10Hz
2026-06-19T14:00:14.027 >> Power Status: Running from USB Power
2026-06-19T14:00:22.031 tasks started
2026-06-19T14:00:22.034 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:00:22.036 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:00:22.137 0.5,180.0,-98.7,32.52,1287, 3
2026-06-19T14:00:22.236 0.2,180.0,-98.7,33.20,1270, 3
2026-06-19T14:00:22.337 359.7,180.0,-98.9,33.40,1265, 3
2026-06-19T14:00:22.436 0.1,180.0,-98.7,33.12,1272, 3
2026-06-19T14:00:22.536 0.4,180.0,-98.9,32.60,1285, 3
2026-06-19T14:00:22.636 0.1,180.0,-98.9,32.84,1279, 3
2026-06-19T14:00:22.736 359.9,180.0,-99.0,33.20,1270, 3
2026-06-19T14:00:22.836 360.0,180.0,-99.0,34.28,1243, 3
2026-06-19T14:00:22.937 360.0,180.0,-99.2,34.08,1248, 3
2026-06-19T14:00:23.036 0.2,180.0,-99.0,33.84,1254, 3
2026-06-19T14:00:23.136 0.4,180.0,-98.6,32.80,1280, 3
2026-06-19T14:00:23.236 0.4,180.0,-98.7,33.24,1269, 3
2026-06-19T14:00:23.337 0.5,180.0,-98.8,32.56,1286, 3
2026-06-19T14:00:23.437 0.3,180.0,-98.8,33.40,1265, 3
2026-06-19T14:00:23.536 0.3,180.0,-98.6,33.00,1275, 3
2026-06-19T14:00:23.636 0.3,180.0,-98.7,33.80,1255, 3
2026-06-19T14:00:23.737 359.5,180.0,-98.7,34.60,1235, 3
2026-06-19T14:00:23.836 358.8,180.0,-99.0,34.28,1243, 3
2026-06-19T14:00:23.937 0.4,180.0,-98.8,35.28,1218, 3
2026-06-19T14:00:24.042 1.5,180.0,-98.0,36.88,1178, 3
2026-06-19T14:00:24.141 2.9,180.0,-98.1,34.80,1230, 3
2026-06-19T14:00:24.242 2.0,180.0,-98.0,35.44,1214, 3
2026-06-19T14:00:24.342 2.9,180.0,-98.1,34.60,1235, 3
2026-06-19T14:00:24.441 1.6,180.0,-98.6,34.64,1234, 3
2026-06-19T14:00:24.542 1.5,180.0,-98.1,35.08,1223, 3
2026-06-19T14:00:24.641 2.3,180.0,-97.4,34.12,1247, 3
2026-06-19T14:00:24.741 0.7,180.0,-98.5,35.48,1213, 3
