# ---- session start 2026-06-19T13:53:18+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T13:53:18.323 Compass-Free Rotation Sensing Activated | 
2026-06-19T13:53:18.578 >> Reading Sensors:  Roll: 96.53°, Pitch: -96.54°, Yaw: -99.53° |
2026-06-19T13:53:18.580 >> Sampling Rate: 10Hz
2026-06-19T13:53:18.583 >> Power Status: Running from USB Power
2026-06-19T13:53:26.587 tasks started
2026-06-19T13:53:26.590 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T13:53:26.592 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T13:53:26.692 359.9,180.0,-96.7,30.84,1329, 3
2026-06-19T13:53:26.793 359.7,180.0,-96.9,31.28,1318, 3
2026-06-19T13:53:26.893 359.6,180.0,-97.2,33.40,1265, 3
2026-06-19T13:53:26.993 359.7,180.0,-97.3,32.96,1276, 3
2026-06-19T13:53:27.092 359.8,180.0,-97.3,30.20,1345, 3
2026-06-19T13:53:27.193 359.7,180.0,-97.3,31.96,1301, 3
2026-06-19T13:53:27.293 359.6,180.0,-97.6,32.28,1293, 3
2026-06-19T13:53:27.393 359.4,180.0,-97.8,32.84,1279, 3
2026-06-19T13:53:27.493 359.4,180.0,-97.7,30.84,1329, 3
2026-06-19T13:53:27.592 359.3,180.0,-97.7,31.84,1304, 3
2026-06-19T13:53:27.692 359.4,180.0,-97.7,32.24,1294, 3
2026-06-19T13:53:27.793 359.8,180.0,-97.8,31.44,1314, 3
2026-06-19T13:53:27.893 359.9,180.0,-97.9,29.72,1357, 3
2026-06-19T13:53:27.993 359.9,180.0,-97.2,31.92,1302, 3
2026-06-19T13:53:28.092 359.9,180.0,-97.3,33.20,1270, 3
2026-06-19T13:53:28.193 0.2,180.0,-97.3,33.36,1266, 3
2026-06-19T13:53:28.293 0.6,180.0,-96.7,31.08,1323, 3
2026-06-19T13:53:28.393 2.1,180.0,-96.4,29.92,1352, 3
2026-06-19T13:53:28.493 4.0,180.0,-96.3,32.80,1280, 3
2026-06-19T13:53:28.598 5.3,180.0,-96.6,31.24,1319, 3
2026-06-19T13:53:28.697 6.6,180.0,-96.6,28.76,1381, 3
2026-06-19T13:53:28.797 8.2,180.0,-98.4,31.60,1310, 3
2026-06-19T13:53:28.897 8.7,180.0,-98.7,30.04,1349, 3
2026-06-19T13:53:28.998 9.4,180.0,-100.1,31.28,1318, 3
2026-06-19T13:53:29.097 9.3,180.0,-100.6,29.76,1356, 3
2026-06-19T13:53:29.197 9.4,180.0,-100.0,31.12,1322, 3
