# ---- session start 2026-06-19T14:15:36+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:15:43.503 tasks started
2026-06-19T14:15:43.506 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:15:43.508 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:15:43.607 0.1,180.0,-91.6,43.60,1010, 3
2026-06-19T14:15:43.708 0.1,180.0,-91.9,44.00,1000, 3
2026-06-19T14:15:43.808 0.3,180.0,-91.8,44.00,1000, 3
2026-06-19T14:15:43.908 0.3,180.0,-91.8,43.72,1007, 3
2026-06-19T14:15:44.008 0.3,180.0,-91.8,43.40,1015, 3
2026-06-19T14:15:44.108 0.2,180.0,-91.7,43.72,1007, 3
2026-06-19T14:15:44.208 0.3,180.0,-91.6,43.76,1006, 3
2026-06-19T14:15:44.308 0.4,180.0,-91.3,43.72,1007, 3
2026-06-19T14:15:44.408 0.3,180.0,-91.4,44.48,988, 3
2026-06-19T14:15:44.508 0.2,180.0,-91.6,44.80,980, 3
2026-06-19T14:15:44.608 0.2,180.0,-91.5,45.64,959, 3
2026-06-19T14:15:44.708 0.5,180.0,-91.2,45.56,961, 3
2026-06-19T14:15:44.808 1.1,180.0,-90.5,46.20,945, 3
2026-06-19T14:15:44.907 1.7,180.0,-90.4,45.04,974, 3
2026-06-19T14:15:45.007 2.6,180.0,-90.3,45.32,967, 3
2026-06-19T14:15:45.108 3.5,179.9,-89.9,45.16,971, 3
2026-06-19T14:15:45.208 3.2,179.8,-89.8,45.08,973, 3
2026-06-19T14:15:45.308 2.8,179.3,-89.3,44.64,984, 3
2026-06-19T14:15:45.408 2.5,179.2,-89.2,45.16,971, 3
2026-06-19T14:15:45.513 3.3,178.5,-88.5,44.92,977, 3
2026-06-19T14:15:45.613 3.9,178.1,-88.1,45.28,968, 3
2026-06-19T14:15:45.712 4.1,178.0,-88.0,45.44,964, 3
2026-06-19T14:15:45.813 3.6,177.7,-87.7,45.12,972, 3
2026-06-19T14:15:45.913 3.1,177.5,-87.5,45.16,971, 3
2026-06-19T14:15:46.013 2.4,177.6,-87.6,45.16,971, 3
