# ---- session start 2026-06-19T14:50:29+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:50:32.526 tasks started
2026-06-19T14:50:32.530 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:50:32.533 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:50:32.630 0.5,157.0,-67.0,47.64,909, 3
2026-06-19T14:50:32.730 0.7,156.7,-66.7,47.64,909, 3
2026-06-19T14:50:32.830 0.5,157.0,-67.0,47.68,908, 3
2026-06-19T14:50:32.930 359.8,157.2,-67.2,47.40,915, 3
2026-06-19T14:50:33.030 359.6,157.3,-67.3,47.44,914, 3
2026-06-19T14:50:33.130 0.2,156.7,-66.7,47.44,914, 3
2026-06-19T14:50:33.230 1.0,155.9,-65.9,47.44,914, 3
2026-06-19T14:50:33.330 1.3,155.9,-65.9,47.80,905, 3
2026-06-19T14:50:33.430 1.8,155.6,-65.6,47.88,903, 3
2026-06-19T14:50:33.530 1.8,155.5,-65.5,47.64,909, 3
2026-06-19T14:50:33.630 1.2,156.0,-66.0,47.68,908, 3
2026-06-19T14:50:33.730 1.1,156.0,-66.0,47.68,908, 3
2026-06-19T14:50:33.830 1.4,155.9,-65.9,47.48,913, 3
2026-06-19T14:50:33.930 1.4,155.9,-65.9,47.88,903, 3
2026-06-19T14:50:34.030 0.7,156.8,-66.8,47.92,902, 3
2026-06-19T14:50:34.130 0.9,156.8,-66.8,47.68,908, 3
2026-06-19T14:50:34.230 1.4,156.3,-66.3,47.56,911, 3
2026-06-19T14:50:34.330 1.1,156.6,-66.6,47.92,902, 3
2026-06-19T14:50:34.430 0.7,157.0,-67.0,47.64,909, 3
2026-06-19T14:50:34.535 1.2,156.6,-66.6,47.40,915, 3
2026-06-19T14:50:34.635 1.8,156.2,-66.2,47.64,909, 3
2026-06-19T14:50:34.735 2.1,156.5,-66.5,47.80,905, 3
2026-06-19T14:50:34.835 3.2,155.8,-65.8,47.60,910, 3
2026-06-19T14:50:34.934 2.8,156.4,-66.4,47.72,907, 3
2026-06-19T14:50:35.034 1.3,157.6,-67.6,47.80,905, 3
2026-06-19T14:50:35.134 0.9,157.8,-67.8,47.52,912, 3
2026-06-19T14:50:35.235 1.1,157.7,-67.7,48.00,900, 3
2026-06-19T14:50:35.335 1.4,158.0,-68.0,47.88,903, 3
