phi,theta,elev,mv,dbm,cal
354.6849,71.7118,18.2882,892,-15.2800,3
354.6032,71.8196,18.1804,889,-15.1600,3
354.4438,71.5606,18.4394,891,-15.2400,3
354.1792,71.5077,18.4923,890,-15.2000,3
353.8984,71.6177,18.3823,890,-15.2000,3
354.1050,71.7882,18.2118,892,-15.2800,3
354.4997,71.8887,18.1113,892,-15.2800,3
354.4110,71.8315,18.1685,893,-15.3200,3
354.4731,71.8934,18.1066,893,-15.3200,3
354.4328,71.9212,18.0788,892,-15.2800,3
354.4383,71.8197,18.1803,892,-15.2800,3
354.4868,71.8525,18.1475,893,-15.3200,3
354.7507,71.8679,18.1321,894,-15.3600,3
354.8572,71.9916,18.0084,892,-15.2800,3
354.7627,72.0667,17.9333,893,-15.3200,3
354.7211,72.0256,17.9744,893,-15.3200,3
354.5797,71.9590,18.0410,893,-15.3200,3
354.4626,72.0607,17.9393,892,-15.2800,3
354.4910,72.0400,17.9600,892,-15.2800,3
354.5540,71.9939,18.0061,893,-15.3200,3
354.5368,71.9083,18.0917,893,-15.3200,3
354.6158,71.9640,18.0360,891,-15.2400,3
354.7837,71.8519,18.1481,893,-15.3200,3
354.8573,71.9162,18.0838,892,-15.2800,3
354.7602,71.8346,18.1654,892,-15.2800,3
354.8450,71.8025,18.1975,893,-15.3200,3
354.7776,71.7029,18.2971,892,-15.2800,3
354.8761,71.8812,18.1188,893,-15.3200,3
354.6217,71.8562,18.1438,892,-15.2800,3
354.6935,71.8678,18.1322,893,-15.3200,3
354.6216,71.8269,18.1731,892,-15.2800,3
354.5574,71.7860,18.2140,894,-15.3600,3
354.6173,71.7446,18.2554,893,-15.3200,3
354.4538,71.6578,18.3422,894,-15.3600,3
354.3141,71.5144,18.4856,894,-15.3600,3
354.1678,71.6124,18.3876,894,-15.3600,3
353.7899,71.7220,18.2780,894,-15.3600,3
353.3925,71.7533,18.2467,894,-15.3600,3
352.9185,71.7794,18.2206,896,-15.4400,3
352.4222,71.7857,18.2143,894,-15.3600,3
351.7642,72.1018,17.8982,895,-15.4000,3
350.9369,72.2531,17.7469,895,-15.4000,3
349.9514,72.3570,17.6430,897,-15.4800,3
349.1911,72.6482,17.3518,896,-15.4400,3
348.4194,72.6525,17.3475,891,-15.2400,3
347.5428,72.9497,17.0503,891,-15.2400,3
346.6453,72.8636,17.1364,889,-15.1600,3
345.5869,72.9140,17.0860,889,-15.1600,3
345.0576,72.9804,17.0196,886,-15.0400,3
344.6548,73.0615,16.9385,884,-14.9600,3
344.8483,73.1635,16.8365,880,-14.8000,3
344.6438,73.3166,16.6834,879,-14.7600,3
344.1857,73.4115,16.5885,877,-14.6800,3
344.0035,73.4383,16.5617,876,-14.6400,3
343.4285,73.5464,16.4536,874,-14.5600,3
342.9806,73.3486,16.6514,875,-14.6000,3
342.0478,73.3731,16.6269,876,-14.6400,3
340.8820,73.3115,16.6885,875,-14.6000,3
340.4933,73.1855,16.8145,873,-14.5200,3
340.0610,72.8963,17.1037,873,-14.5200,3
339.4792,72.7216,17.2784,872,-14.4800,3
339.1441,72.4748,17.5252,872,-14.4800,3
338.3860,72.6963,17.3037,870,-14.4000,3
337.5613,72.8531,17.1469,870,-14.4000,3
336.9410,73.0249,16.9751,871,-14.4400,3
336.8500,72.7139,17.2861,871,-14.4400,3
336.9474,72.6083,17.3917,872,-14.4800,3
336.9974,72.1503,17.8498,876,-14.6400,3
336.7924,72.3466,17.6534,878,-14.7200,3
336.5641,72.6099,17.3901,879,-14.7600,3
336.0209,73.0378,16.9622,876,-14.6400,3
335.2508,73.2212,16.7788,883,-14.9200,3
334.2690,73.3329,16.6671,881,-14.8400,3
333.3091,73.3439,16.6561,882,-14.8800,3
332.4589,73.3937,16.6063,882,-14.8800,3
331.6678,73.4897,16.5103,890,-15.2000,3
331.0182,73.2641,16.7359,893,-15.3200,3
329.8079,72.8302,17.1698,895,-15.4000,3
328.9866,72.4997,17.5003,902,-15.6800,3
328.3117,72.4960,17.5040,904,-15.7600,3
327.5954,72.3569,17.6431,909,-15.9600,3
327.1580,71.9495,18.0505,912,-16.0800,3
326.4233,72.1841,17.8159,916,-16.2400,3
326.1287,71.7817,18.2183,919,-16.3600,3
325.1389,71.7931,18.2069,927,-16.6800,3
324.2589,71.7318,18.2682,930,-16.8000,3
322.9196,71.4825,18.5175,931,-16.8400,3
321.9985,71.2196,18.7804,930,-16.8000,3
321.0974,71.0924,18.9076,926,-16.6400,3
319.3201,71.1009,18.8991,925,-16.6000,3
317.8893,71.0668,18.9332,927,-16.6800,3
316.9260,71.0774,18.9226,930,-16.8000,3
316.7014,70.6544,19.3456,933,-16.9200,3
316.3505,70.4099,19.5901,938,-17.1200,3
316.3485,70.6027,19.3973,962,-18.0800,3
316.2025,70.5047,19.4953,978,-18.7200,3
315.9942,70.7152,19.2848,986,-19.0400,3
315.4166,70.3953,19.6047,994,-19.3600,3
314.8123,70.7533,19.2467,997,-19.4800,3
313.6043,70.4250,19.5750,996,-19.4400,3
312.3243,70.4737,19.5263,994,-19.3600,3
311.2921,70.4974,19.5026,998,-19.5200,3
310.2307,70.1049,19.8951,1003,-19.7200,3
309.2491,70.1868,19.8132,1009,-19.9600,3
308.7903,70.1601,19.8399,1018,-20.3200,3
308.1518,70.2723,19.7277,1020,-20.4000,3
307.3815,70.3966,19.6034,1018,-20.3200,3
306.5699,70.4194,19.5806,1016,-20.2400,3
306.2322,70.1540,19.8460,999,-19.5600,3
305.5068,70.0905,19.9095,999,-19.5600,3
304.9883,70.1725,19.8275,1022,-20.4800,3
304.4969,70.2562,19.7438,1026,-20.6400,3
303.4943,70.3657,19.6343,1029,-20.7600,3
302.1266,70.1343,19.8657,1036,-21.0400,3
300.9306,70.1675,19.8325,1036,-21.0400,3
299.2978,70.0099,19.9901,1044,-21.3600,3
298.0980,69.9953,20.0047,1040,-21.2000,3
296.8158,70.1525,19.8475,1051,-21.6400,3
295.1580,70.0879,19.9121,1054,-21.7600,3
294.1922,69.9870,20.0130,1053,-21.7200,3
293.2296,69.6379,20.3621,1055,-21.8000,3
291.8831,69.3226,20.6774,1053,-21.7200,3
290.7303,69.3182,20.6818,1054,-21.7600,3
289.8960,69.3589,20.6411,1051,-21.6400,3
288.8171,69.4001,20.5999,976,-18.6400,3
287.9565,69.5598,20.4402,1021,-20.4400,3
286.9503,69.8593,20.1407,1050,-21.6000,3
286.5646,70.0381,19.9619,1035,-21.0000,3
286.0488,70.2519,19.7481,1042,-21.2800,3
285.6844,70.1613,19.8387,1047,-21.4800,3
285.0108,70.0741,19.9259,1052,-21.6800,3
284.6201,69.5101,20.4899,1053,-21.7200,3
284.2097,69.1450,20.8551,1054,-21.7600,3
283.5001,69.0980,20.9020,1030,-20.8000,3
282.7788,68.9382,21.0618,1050,-21.6000,3
281.9024,69.6984,20.3016,1043,-21.3200,3
280.2810,69.8912,20.1088,1052,-21.6800,3
279.7163,69.5924,20.4076,1043,-21.3200,3
279.1364,69.3071,20.6929,1037,-21.0800,3
278.0715,69.2021,20.7979,1063,-22.1200,3
277.3757,69.0697,20.9303,1065,-22.2000,3
276.6631,68.8626,21.1374,1041,-21.2400,3
275.8973,68.6242,21.3758,1060,-22.0000,3
275.0514,68.7273,21.2727,1054,-21.7600,3
274.5668,68.5988,21.4012,1061,-22.0400,3
273.6556,68.5815,21.4185,1068,-22.3200,3
273.2030,68.5495,21.4505,1070,-22.4000,3
272.7294,68.5827,21.4173,1074,-22.5600,3
271.8202,68.5979,21.4021,1069,-22.3600,3
270.6011,69.1111,20.8889,1073,-22.5200,3
269.4041,69.3076,20.6924,1077,-22.6800,3
268.0349,69.5888,20.4112,1050,-21.6000,3
266.4109,69.3128,20.6872,1036,-21.0400,3
265.1941,69.2427,20.7573,1040,-21.2000,3
263.8177,69.2663,20.7337,1043,-21.3200,3
262.3707,69.0540,20.9460,1066,-22.2400,3
261.1953,68.9918,21.0082,1051,-21.6400,3
260.1949,69.2833,20.7167,1027,-20.6800,3
259.1453,69.4223,20.5777,1023,-20.5200,3
258.0557,69.7199,20.2801,1027,-20.6800,3
257.4195,69.5688,20.4312,1043,-21.3200,3
256.5646,69.5674,20.4326,1045,-21.4000,3
255.9006,69.5040,20.4960,1049,-21.5600,3
255.4371,69.6236,20.3764,1041,-21.2400,3
254.8335,69.8070,20.1930,1042,-21.2800,3
254.2453,69.9182,20.0818,1050,-21.6000,3
253.6612,69.8495,20.1505,1044,-21.3600,3
253.0551,69.7349,20.2651,1035,-21.0000,3
252.1895,69.9919,20.0081,1041,-21.2400,3
251.8575,69.9227,20.0773,1052,-21.6800,3
250.9860,69.7043,20.2957,1045,-21.4000,3
250.6545,69.7078,20.2922,1050,-21.6000,3
249.9911,70.0397,19.9603,1068,-22.3200,3
249.3828,69.5915,20.4085,1070,-22.4000,3
248.6285,69.8922,20.1078,1069,-22.3600,3
248.2939,69.9853,20.0147,1079,-22.7600,3
247.6372,70.0779,19.9221,1056,-21.8400,3
247.5033,70.3003,19.6997,1074,-22.5600,3
246.8105,70.1025,19.8975,1090,-23.2000,3
245.8965,70.0158,19.9842,1090,-23.2000,3
244.6875,69.9849,20.0151,1068,-22.3200,3
243.1898,70.1755,19.8245,1082,-22.8800,3
241.9550,69.7554,20.2446,1082,-22.8800,3
240.8259,69.8476,20.1524,1102,-23.6800,3
239.4200,69.4669,20.5331,1057,-21.8800,3
237.5677,69.6034,20.3966,1066,-22.2400,3
236.2071,70.0020,19.9980,1097,-23.4800,3
235.3352,70.2077,19.7923,1089,-23.1600,3
234.6117,70.0619,19.9381,1076,-22.6400,3
234.2050,69.8960,20.1040,1094,-23.3600,3
233.7843,69.7970,20.2030,1092,-23.2800,3
233.2411,69.7890,20.2110,1075,-22.6000,3
232.7258,69.9209,20.0791,1089,-23.1600,3
232.1232,70.0356,19.9644,1093,-23.3200,3
231.5761,70.0253,19.9747,1088,-23.1200,3
230.3368,70.2150,19.7850,1070,-22.4000,3
228.9043,70.8124,19.1876,1085,-23.0000,3
227.8335,71.4817,18.5183,1081,-22.8400,3
227.0468,71.9511,18.0489,1048,-21.5200,3
226.9469,72.7564,17.2436,1049,-21.5600,3
226.8265,73.4772,16.5228,1072,-22.4800,3
225.9737,73.6785,16.3215,1074,-22.5600,3
224.5669,74.0852,15.9148,1081,-22.8400,3
223.4060,74.5293,15.4707,1088,-23.1200,3
222.9355,73.8444,16.1556,1069,-22.3600,3
222.6902,73.9372,16.0628,1003,-19.7200,3
222.0970,74.0753,15.9247,1095,-23.4000,3
221.6024,73.4031,16.5969,1110,-24.0000,3
220.4565,73.3288,16.6712,1103,-23.7200,3
218.5284,73.5977,16.4023,1099,-23.5600,3
216.9829,73.4752,16.5248,1094,-23.3600,3
215.1606,73.1231,16.8769,1023,-20.5200,3
212.8854,73.1117,16.8883,1100,-23.6000,3
211.1638,73.4946,16.5054,1095,-23.4000,3
209.9074,73.7165,16.2835,1117,-24.2800,3
209.0506,73.6902,16.3098,1130,-24.8000,3
207.9846,73.3595,16.6405,1135,-25.0000,3
206.7164,73.1645,16.8355,1154,-25.7600,3
205.6092,73.2519,16.7481,1188,-27.1200,3
204.3088,73.7206,16.2794,1220,-28.4000,3
202.7667,73.9456,16.0544,1175,-26.6000,3
202.0215,73.8378,16.1622,1215,-28.2000,3
201.1269,74.3743,15.6257,1150,-25.6000,3
198.4697,73.9805,16.0195,1215,-28.2000,3
