phi,theta,elev,mv,dbm,cal
358.1538,75.2064,14.7936,941,46.3600,3
358.2364,75.3143,14.6857,941,46.3600,3
358.2705,75.3009,14.6991,941,46.3600,3
358.2017,75.3001,14.6999,939,46.4400,3
358.1870,75.1932,14.8068,938,46.4800,3
358.1532,75.2080,14.7920,940,46.4000,3
358.0636,75.1453,14.8547,941,46.3600,3
358.1000,75.2977,14.7023,943,46.2800,3
358.0898,75.3887,14.6113,944,46.2400,3
357.9632,75.5517,14.4483,940,46.4000,3
357.1444,75.5770,14.4230,943,46.2800,3
356.9174,75.1720,14.8280,940,46.4000,3
356.7442,74.9037,15.0963,940,46.4000,3
356.5575,74.8422,15.1578,938,46.4800,3
356.1433,74.6416,15.3584,936,46.5600,3
356.0331,74.4975,15.5025,935,46.6000,3
356.0891,74.4540,15.5460,939,46.4400,3
355.4283,74.4405,15.5595,937,46.5200,3
354.4983,73.8357,16.1643,936,46.5600,3
354.1037,73.0766,16.9234,929,46.8400,3
353.3058,73.4693,16.5307,925,47.0000,3
351.7429,73.8912,16.1088,921,47.1600,3
350.7466,73.7086,16.2914,923,47.0800,3
349.6139,73.6106,16.3894,923,47.0800,3
348.6875,73.7549,16.2451,923,47.0800,3
348.0454,73.8194,16.1806,923,47.0800,3
348.0574,73.7171,16.2829,920,47.2000,3
348.3493,73.3673,16.6327,919,47.2400,3
347.9789,73.1588,16.8413,921,47.1600,3
346.8441,72.7993,17.2007,928,46.8800,3
345.4476,72.7683,17.2317,932,46.7200,3
344.9767,72.5683,17.4317,939,46.4400,3
344.5881,72.2977,17.7023,939,46.4400,3
343.9114,71.9846,18.0154,940,46.4000,3
343.0371,70.9980,19.0020,942,46.3200,3
341.2803,70.4119,19.5881,941,46.3600,3
339.9415,70.4618,19.5382,942,46.3200,3
337.8938,71.2341,18.7659,947,46.1200,3
336.8709,71.4651,18.5349,945,46.2000,3
336.1359,71.2026,18.7974,946,46.1600,3
335.2371,70.8294,19.1706,948,46.0800,3
334.3012,70.4116,19.5884,947,46.1200,3
333.2989,70.0881,19.9119,939,46.4400,3
332.2486,70.2923,19.7077,932,46.7200,3
330.7912,70.9104,19.0896,933,46.6800,3
329.4825,71.0756,18.9244,935,46.6000,3
328.4621,70.1369,19.8631,929,46.8400,3
326.9896,69.9743,20.0257,937,46.5200,3
325.2214,70.1571,19.8429,928,46.8800,3
323.5029,70.0682,19.9318,919,47.2400,3
322.4103,70.2146,19.7854,918,47.2800,3
320.9453,70.2542,19.7458,918,47.2800,3
