phi,theta,elev,mv,dbm,cal
0.8758,89.8366,0.1634,942,46.3200,3
0.9362,89.9049,0.0951,941,46.3600,3
0.7916,89.8126,0.1874,941,46.3600,3
0.7415,89.7435,0.2565,941,46.3600,3
0.6786,89.8586,0.1414,940,46.4000,3
0.5856,89.9243,0.0757,943,46.2800,3
0.5309,89.9107,0.0893,943,46.2800,3
0.6152,89.9245,0.0755,944,46.2400,3
0.5951,89.9047,0.0953,944,46.2400,3
0.3240,89.6522,0.3478,946,46.1600,3
0.1106,89.6422,0.3578,945,46.2000,3
359.7509,89.7227,0.2773,950,46.0000,3
359.3157,89.6970,0.3030,954,45.8400,3
358.9047,89.6571,0.3429,956,45.7600,3
358.3790,89.5011,0.4989,962,45.5200,3
357.7108,89.3067,0.6933,967,45.3200,3
356.7072,89.1906,0.8094,968,45.2800,3
355.5606,89.1405,0.8595,967,45.3200,3
354.5266,89.3634,0.6366,972,45.1200,3
353.8608,89.5717,0.4283,974,45.0400,3
353.1273,89.4358,0.5642,967,45.3200,3
352.7115,89.4907,0.5093,976,44.9600,3
352.7830,89.7223,0.2777,978,44.8800,3
352.5204,89.7587,0.2413,975,45.0000,3
351.6862,89.5130,0.4870,955,45.8000,3
350.7072,88.9486,1.0514,966,45.3600,3
349.3271,89.0693,0.9307,962,45.5200,3
347.9432,89.1454,0.8546,958,45.6800,3
346.9293,88.6532,1.3468,958,45.6800,3
346.3779,88.3203,1.6797,958,45.6800,3
345.2478,88.0593,1.9407,956,45.7600,3
344.5878,88.1644,1.8356,958,45.6800,3
344.7183,88.1279,1.8721,956,45.7600,3
344.2380,87.4596,2.5404,956,45.7600,3
343.5973,87.0991,2.9009,957,45.7200,3
342.9158,86.8619,3.1381,959,45.6400,3
341.7785,86.4240,3.5760,959,45.6400,3
340.3108,86.5029,3.4971,960,45.6000,3
338.5869,86.7985,3.2015,962,45.5200,3
337.0472,86.7182,3.2818,962,45.5200,3
335.4785,86.5324,3.4676,961,45.5600,3
333.8021,86.2608,3.7392,964,45.4400,3
332.9920,86.0598,3.9402,960,45.6000,3
331.9654,85.9495,4.0505,956,45.7600,3
330.7836,86.0194,3.9806,956,45.7600,3
329.2917,86.2978,3.7022,956,45.7600,3
327.8734,85.8228,4.1772,965,45.4000,3
327.2390,85.5685,4.4315,969,45.2400,3
327.0999,85.6643,4.3357,977,44.9200,3
327.0669,85.6664,4.3336,982,44.7200,3
326.8824,85.6683,4.3317,986,44.5600,3
326.5409,85.5417,4.4583,938,46.4800,3
325.6452,85.7297,4.2703,986,44.5600,3
324.8061,86.1884,3.8116,984,44.6400,3
324.6537,86.6531,3.3469,986,44.5600,3
324.6739,86.3168,3.6832,988,44.4800,3
324.8371,85.9494,4.0506,990,44.4000,3
324.7027,85.3624,4.6376,992,44.3200,3
323.7275,84.6003,5.3997,991,44.3600,3
322.6930,84.7422,5.2578,987,44.5200,3
322.6841,84.3026,5.6974,990,44.4000,3
322.9378,84.2012,5.7988,984,44.6400,3
322.8582,84.2082,5.7918,997,44.1200,3
322.1681,83.9421,6.0579,999,44.0400,3
321.9362,84.2472,5.7528,1003,43.8800,3
321.2900,84.2865,5.7135,1007,43.7200,3
319.7715,83.5604,6.4396,1015,43.4000,3
319.3405,82.8945,7.1055,1022,43.1200,3
318.3640,83.0715,6.9285,1033,42.6800,3
317.1019,83.0468,6.9532,1037,42.5200,3
316.0125,82.8496,7.1504,1037,42.5200,3
314.8087,82.5270,7.4730,1041,42.3600,3
314.1483,82.3717,7.6283,1045,42.2000,3
313.0149,82.4470,7.5530,1047,42.1200,3
312.0829,82.7611,7.2389,1027,42.9200,3
311.2151,82.8073,7.1927,1035,42.6000,3
310.3932,82.5067,7.4933,1029,42.8400,3
309.1601,82.5362,7.4638,1026,42.9600,3
307.9975,82.4238,7.5762,1027,42.9200,3
307.3864,82.5396,7.4604,1020,43.2000,3
307.1259,82.8435,7.1565,1029,42.8400,3
306.5340,83.2008,6.7992,1050,42.0000,3
306.2278,83.3746,6.6254,1069,41.2400,3
306.3421,83.9215,6.0785,1088,40.4800,3
306.2657,84.1990,5.8010,1104,39.8400,3
305.9965,84.1991,5.8009,1122,39.1200,3
305.6502,84.1911,5.8089,1119,39.2400,3
305.4285,84.3012,5.6988,1128,38.8800,3
305.4693,84.7842,5.2158,1128,38.8800,3
305.4597,85.2158,4.7842,1138,38.4800,3
305.4036,85.1748,4.8252,1159,37.6400,3
304.8937,84.9120,5.0880,1107,39.7200,3
304.0063,84.7228,5.2772,1160,37.6000,3
303.3462,84.9546,5.0454,1161,37.5600,3
302.7191,85.1603,4.8397,1073,41.0800,3
302.7661,85.1639,4.8361,1231,34.7600,3
302.3280,85.2160,4.7840,1282,32.7200,3
301.4358,85.1026,4.8974,1229,34.8400,3
300.5471,85.0457,4.9543,1234,34.6400,3
299.6852,85.0161,4.9839,1202,35.9200,3
298.7200,84.6414,5.3586,1258,33.6800,3
297.9153,84.3881,5.6119,1223,35.0800,3
297.2966,84.2260,5.7740,1245,34.2000,3
296.6866,84.0308,5.9692,1240,34.4000,3
296.8796,84.0701,5.9299,1232,34.7200,3
296.9012,83.7402,6.2598,1201,35.9600,3
296.4686,83.2120,6.7880,1212,35.5200,3
295.9657,82.7211,7.2789,1202,35.9200,3
295.1334,82.2627,7.7373,1185,36.6000,3
294.4283,82.1911,7.8089,1186,36.5600,3
293.4626,82.0715,7.9285,1150,38.0000,3
292.4777,82.1001,7.8999,1145,38.2000,3
291.6967,81.7642,8.2358,1186,36.5600,3
291.1546,81.2076,8.7924,1141,38.3600,3
290.0461,80.9723,9.0277,1210,35.6000,3
288.7827,80.9169,9.0831,1217,35.3200,3
287.7771,80.9213,9.0787,1196,36.1600,3
286.5988,80.5931,9.4069,1171,37.1600,3
285.3274,80.6409,9.3591,1186,36.5600,3
284.2634,80.7380,9.2620,1224,35.0400,3
283.5071,80.8206,9.1794,1231,34.7600,3
282.5275,80.6910,9.3090,1225,35.0000,3
281.5343,80.7304,9.2696,1206,35.7600,3
280.9362,80.8013,9.1987,1158,37.6800,3
280.9742,80.9351,9.0649,1289,32.4400,3
281.0708,80.8632,9.1368,1366,29.3600,3
280.7838,80.9541,9.0459,1303,31.8800,3
280.6992,81.1180,8.8820,1312,31.5200,3
280.6866,81.2615,8.7385,1250,34.0000,3
280.6598,81.3321,8.6679,1255,33.8000,3
280.6544,81.4312,8.5688,1260,33.6000,3
280.6474,81.3974,8.6026,1252,33.9200,3
280.2635,81.1325,8.8675,1182,36.7200,3
279.4092,81.0322,8.9678,1230,34.8000,3
278.1968,80.9066,9.0934,1248,34.0800,3
277.8360,80.7731,9.2269,1250,34.0000,3
276.9974,80.7024,9.2976,1278,32.8800,3
276.1350,80.9141,9.0859,1257,33.7200,3
275.9588,80.8646,9.1354,1259,33.6400,3
275.5780,80.8036,9.1964,1211,35.5600,3
275.2239,80.6753,9.3247,961,45.5600,3
274.8008,80.7679,9.2321,1244,34.2400,3
274.2888,80.8707,9.1293,1215,35.4000,3
273.4152,80.8251,9.1749,1223,35.0800,3
272.3105,80.5392,9.4608,1205,35.8000,3
271.0552,80.1515,9.8485,1223,35.0800,3
270.1063,80.1753,9.8247,1182,36.7200,3
269.6998,80.5720,9.4280,1202,35.9200,3
