phi,theta,elev,mv,dbm,cal
0.1399,73.9394,16.0606,972,-29.8636,3
0.0621,73.9468,16.0532,969,-29.7273,3
0.0232,74.0696,15.9304,968,-29.6818,3
0.1615,73.9623,16.0377,967,-29.6364,3
0.3627,74.0027,15.9973,969,-29.7273,3
0.3802,74.0251,15.9749,971,-29.8182,3
0.4627,73.9761,16.0239,973,-29.9091,3
0.5171,74.0155,15.9845,975,-30.0000,3
0.6326,73.9925,16.0075,976,-30.0455,3
0.6382,74.0737,15.9263,976,-30.0455,3
0.6526,74.1247,15.8753,975,-30.0000,3
0.5674,74.1119,15.8881,974,-29.9545,3
0.5584,74.0955,15.9045,974,-29.9545,3
0.3817,74.1212,15.8788,973,-29.9091,3
0.5623,74.1867,15.8133,974,-29.9545,3
0.6718,74.2256,15.7744,973,-29.9091,3
0.4346,74.2834,15.7166,972,-29.8636,3
0.3737,74.3029,15.6971,972,-29.8636,3
0.6056,74.1262,15.8738,968,-29.6818,3
0.6188,73.9627,16.0373,970,-29.7727,3
0.6440,73.8261,16.1739,968,-29.6818,3
0.7503,73.7975,16.2025,968,-29.6818,3
0.6703,73.5658,16.4342,967,-29.6364,3
0.3093,73.5681,16.4319,966,-29.5909,3
359.9738,73.7906,16.2094,970,-29.7727,3
359.7526,74.0845,15.9155,975,-30.0000,3
359.7238,73.8136,16.1864,981,-30.2727,3
358.9961,73.2699,16.7301,989,-30.6364,3
358.4117,73.2746,16.7254,989,-30.6364,3
358.2089,73.5277,16.4723,988,-30.5909,3
358.2493,73.6349,16.3651,986,-30.5000,3
358.2402,73.4852,16.5148,987,-30.5455,3
358.2486,73.3238,16.6762,979,-30.1818,3
358.2725,72.7706,17.2294,985,-30.4545,3
358.1684,72.3839,17.6161,984,-30.4091,3
358.0281,72.3266,17.6734,982,-30.3182,3
358.3759,71.9873,18.0127,982,-30.3182,3
358.8288,71.9699,18.0301,980,-30.2273,3
359.5410,72.2004,17.7996,983,-30.3636,3
1.1748,72.0821,17.9179,987,-30.5455,3
2.5268,72.3758,17.6242,990,-30.6818,3
3.0042,71.8056,18.1944,989,-30.6364,3
3.3659,71.4909,18.5091,984,-30.4091,3
