phi,theta,elev,mv,dbm,cal
359.8347,89.2424,0.7576,999,-31.0909,3
359.8049,89.2627,0.7373,998,-31.0455,3
359.7542,89.2539,0.7461,997,-31.0000,3
359.8643,89.3110,0.6890,995,-30.9091,3
359.8582,89.2172,0.7828,994,-30.8636,3
359.8935,89.2511,0.7489,997,-31.0000,3
359.8819,89.1919,0.8081,1002,-31.2273,3
359.9221,89.2109,0.7891,1002,-31.2273,3
359.9119,89.1913,0.8087,1006,-31.4091,3
359.9216,89.1615,0.8385,1001,-31.1818,3
359.8777,89.1674,0.8326,997,-31.0000,3
359.8423,89.0939,0.9061,989,-30.6364,3
359.7723,88.9666,1.0334,992,-30.7727,3
359.8973,88.9795,1.0205,991,-30.7273,3
359.9436,88.8500,1.1500,997,-31.0000,3
0.0742,88.9665,1.0335,996,-30.9545,3
0.1499,89.0101,0.9899,1002,-31.2273,3
0.1488,88.9015,1.0985,998,-31.0455,3
0.4956,88.8279,1.1721,994,-30.8636,3
0.6323,88.4346,1.5654,992,-30.7727,3
0.5308,88.3955,1.6045,992,-30.7727,3
0.1024,88.4274,1.5726,988,-30.5909,3
359.4827,88.5114,1.4886,988,-30.5909,3
358.2634,88.5947,1.4053,987,-30.5455,3
356.8060,88.6538,1.3462,987,-30.5455,3
355.7903,88.5516,1.4484,992,-30.7727,3
354.6786,88.5829,1.4171,997,-31.0000,3
353.5403,88.5496,1.4504,1001,-31.1818,3
352.8845,88.7016,1.2984,1009,-31.5455,3
352.1745,88.7173,1.2827,1007,-31.4545,3
351.2208,88.9491,1.0509,994,-30.8636,3
350.2347,88.8801,1.1199,994,-30.8636,3
349.3502,88.9159,1.0841,997,-31.0000,3
348.9962,88.4455,1.5545,1006,-31.4091,3
349.3618,88.2348,1.7652,1007,-31.4545,3
349.9599,88.4672,1.5328,1007,-31.4545,3
350.0335,88.3571,1.6429,1007,-31.4545,3
350.1364,88.7172,1.2828,1008,-31.5000,3
349.5503,88.9441,1.0559,1008,-31.5000,3
348.8850,88.8309,1.1691,1008,-31.5000,3
348.7547,88.7894,1.2106,1008,-31.5000,3
348.1727,88.7865,1.2135,1014,-31.7727,3
346.4249,88.2449,1.7551,1027,-32.3636,3
344.9568,88.1816,1.8184,996,-30.9545,3
343.3592,88.0926,1.9074,1048,-33.3182,3
341.6670,88.3955,1.6045,1044,-33.1364,3
339.9666,87.9369,2.0631,1051,-33.4545,3
339.8427,88.2755,1.7245,1050,-33.4091,3
339.9992,88.4302,1.5698,1055,-33.6364,3
340.4450,88.5414,1.4586,1050,-33.4091,3
340.3856,88.4859,1.5141,1051,-33.4545,3
340.9157,88.8250,1.1750,1047,-33.2727,3
341.3391,89.0218,0.9783,1043,-33.0909,3
341.5080,88.9609,1.0391,1043,-33.0909,3
340.5027,88.8642,1.1358,1045,-33.1818,3
339.9271,88.8983,1.1017,1049,-33.3636,3
339.5300,89.7213,0.2787,1043,-33.0909,3
338.9397,89.3162,0.6838,1028,-32.4091,3
338.6465,89.1717,0.8283,1048,-33.3182,3
337.6295,88.8183,1.1817,1049,-33.3636,3
335.7734,88.0847,1.9153,1045,-33.1818,3
334.2798,87.8793,2.1207,1039,-32.9091,3
331.7131,87.4903,2.5097,1039,-32.9091,3
330.4608,87.1557,2.8443,1039,-32.9091,3
330.4269,86.9505,3.0495,1038,-32.8636,3
331.4497,86.8541,3.1459,1044,-33.1364,3
332.5649,86.5893,3.4107,1047,-33.2727,3
332.6439,86.0078,3.9922,1049,-33.3636,3
332.9378,86.7690,3.2310,1049,-33.3636,3
332.2852,86.7523,3.2477,1051,-33.4545,3
332.0591,86.6980,3.3021,1048,-33.3182,3
331.0300,85.7937,4.2063,1050,-33.4091,3
330.2062,85.1409,4.8591,1050,-33.4091,3
329.1006,84.8612,5.1388,1047,-33.2727,3
327.9030,85.2252,4.7748,1043,-33.0909,3
326.5085,85.4450,4.5550,1034,-32.6818,3
324.9604,84.9787,5.0213,1027,-32.3636,3
324.0602,84.7130,5.2871,1018,-31.9545,3
322.7412,84.3394,5.6606,1017,-31.9091,3
321.9502,84.4295,5.5705,1027,-32.3636,3
321.7567,83.7911,6.2089,1048,-33.3182,3
320.7084,83.0148,6.9852,1060,-33.8636,3
320.0174,83.1359,6.8641,1080,-34.7727,3
318.9599,82.1606,7.8394,1080,-34.7727,3
318.5898,81.6307,8.3693,1078,-34.6818,3
317.7025,81.3205,8.6795,1068,-34.2273,3
317.2638,81.7699,8.2301,1072,-34.4091,3
317.3158,81.9643,8.0357,1071,-34.3636,3
317.7490,81.6371,8.3629,1068,-34.2273,3
317.3682,81.1395,8.8604,1070,-34.3182,3
317.3973,80.4362,9.5638,1073,-34.4545,3
316.5486,79.7254,10.2746,1069,-34.2727,3
315.8620,79.6021,10.3979,1068,-34.2273,3
314.0180,79.3999,10.6001,1063,-34.0000,3
312.1400,78.8008,11.1992,1056,-33.6818,3
310.0430,78.4933,11.5067,1035,-32.7273,3
307.7237,78.3216,11.6784,1035,-32.7273,3
305.6889,78.2187,11.7813,1037,-32.8182,3
305.1917,78.6478,11.3522,1041,-33.0000,3
