phi,theta,elev,mv,dbm,cal
354.7648,75.2782,14.7218,928,-27.8636,3
354.6577,75.1930,14.8070,929,-27.9091,3
354.6126,75.3100,14.6900,929,-27.9091,3
354.6438,75.3259,14.6741,929,-27.9091,3
354.5862,75.2237,14.7763,929,-27.9091,3
354.6234,75.3229,14.6771,931,-28.0000,3
354.3841,75.1238,14.8762,930,-27.9545,3
354.4319,75.0078,14.9922,930,-27.9545,3
354.7120,74.9068,15.0932,930,-27.9545,3
354.6514,74.9977,15.0023,929,-27.9091,3
354.6082,74.8319,15.1681,932,-28.0455,3
354.4606,74.9159,15.0841,933,-28.0909,3
354.2479,74.8806,15.1194,932,-28.0455,3
354.0901,74.7160,15.2839,932,-28.0455,3
353.8649,74.4629,15.5371,931,-28.0000,3
353.2641,74.3217,15.6783,930,-27.9545,3
352.4775,74.0882,15.9118,928,-27.8636,3
351.5361,74.2439,15.7561,929,-27.9091,3
350.2597,74.4662,15.5338,930,-27.9545,3
349.2298,74.5088,15.4912,931,-28.0000,3
348.1851,74.9443,15.0557,932,-28.0455,3
347.3671,75.0001,14.9999,932,-28.0455,3
346.8892,75.0876,14.9124,930,-27.9545,3
346.1624,75.3923,14.6077,929,-27.9091,3
345.7969,75.5036,14.4964,925,-27.7273,3
345.5694,75.5166,14.4834,926,-27.7727,3
344.7675,75.7057,14.2943,925,-27.7273,3
343.6718,75.7224,14.2776,926,-27.7727,3
342.7772,75.9504,14.0496,924,-27.6818,3
342.1275,75.5409,14.4591,923,-27.6364,3
341.6400,75.3544,14.6456,920,-27.5000,3
340.8268,75.2785,14.7215,920,-27.5000,3
340.0907,74.7990,15.2010,924,-27.6818,3
339.6595,74.8963,15.1037,922,-27.5909,3
339.3448,74.5419,15.4581,920,-27.5000,3
338.5235,74.6255,15.3745,917,-27.3636,3
337.8488,74.8021,15.1979,913,-27.1818,3
337.4268,74.7851,15.2149,906,-26.8636,3
336.5470,74.9042,15.0958,903,-26.7273,3
335.8150,75.2827,14.7173,894,-26.3182,3
334.8701,75.0442,14.9558,896,-26.4091,3
334.5657,74.5664,15.4336,896,-26.4091,3
334.5632,74.8405,15.1595,894,-26.3182,3
333.9785,74.7875,15.2125,895,-26.3636,3
333.1396,74.7616,15.2384,892,-26.2273,3
331.7496,75.0510,14.9490,892,-26.2273,3
330.2238,75.4005,14.5995,893,-26.2727,3
328.5948,75.5105,14.4895,893,-26.2727,3
327.1453,75.8776,14.1224,897,-26.4545,3
325.5450,75.9772,14.0228,897,-26.4545,3
324.7555,75.9517,14.0483,905,-26.8182,3
324.4676,76.0476,13.9524,913,-27.1818,3
324.0780,76.0526,13.9474,923,-27.6364,3
323.8857,75.9518,14.0482,930,-27.9545,3
323.4763,76.3739,13.6261,935,-28.1818,3
322.5101,76.3535,13.6465,934,-28.1364,3
321.3769,76.4920,13.5080,932,-28.0455,3
320.5218,76.4797,13.5203,932,-28.0455,3
319.6817,75.9904,14.0096,932,-28.0455,3
318.6063,76.2279,13.7721,930,-27.9545,3
317.2583,76.2225,13.7775,933,-28.0909,3
315.7639,76.0311,13.9689,942,-28.5000,3
314.1491,75.9218,14.0782,952,-28.9545,3
312.3593,75.4153,14.5847,956,-29.1364,3
310.4860,74.7763,15.2237,956,-29.1364,3
309.0807,74.7540,15.2460,946,-28.6818,3
308.2497,74.3691,15.6309,936,-28.2273,3
307.1567,74.0871,15.9129,929,-27.9091,3
305.4536,74.0849,15.9151,935,-28.1818,3
304.4635,74.0765,15.9235,931,-28.0000,3
303.7670,74.4473,15.5527,921,-27.5455,3
303.0604,74.4100,15.5900,919,-27.4545,3
302.5478,74.0628,15.9372,927,-27.8182,3
301.9221,73.9636,16.0364,926,-27.7727,3
300.6764,73.9448,16.0552,927,-27.8182,3
299.0971,74.2745,15.7255,920,-27.5000,3
296.5965,74.6531,15.3469,919,-27.4545,3
294.3219,74.8404,15.1596,926,-27.7727,3
292.9796,74.7700,15.2300,938,-28.3182,3
292.1583,74.8515,15.1485,948,-28.7727,3
291.2921,74.7618,15.2382,957,-29.1818,3
290.3905,75.3245,14.6755,949,-28.8182,3
289.5185,75.4891,14.5109,948,-28.7727,3
288.8545,75.2879,14.7121,954,-29.0455,3
287.7023,75.8153,14.1847,953,-29.0000,3
286.3134,75.7012,14.2988,955,-29.0909,3
285.2823,76.0814,13.9186,956,-29.1364,3
284.2113,75.9157,14.0843,961,-29.3636,3
282.7407,76.0813,13.9187,959,-29.2727,3
281.0704,75.6157,14.3843,958,-29.2273,3
279.5510,75.5538,14.4462,953,-29.0000,3
277.9044,75.5616,14.4384,950,-28.8636,3
276.4050,75.5980,14.4020,945,-28.6364,3
275.2450,75.3823,14.6177,945,-28.6364,3
274.5128,75.0048,14.9952,952,-28.9545,3
274.3627,74.5966,15.4034,966,-29.5909,3
274.1772,75.2349,14.7651,976,-30.0455,3
272.7369,74.9982,15.0018,979,-30.1818,3
270.9510,75.0608,14.9392,993,-30.8182,3
269.3809,75.1202,14.8798,1009,-31.5455,3
267.6155,75.4095,14.5905,1014,-31.7727,3
265.1101,75.8423,14.1577,1023,-32.1818,3
262.9267,75.4374,14.5626,1034,-32.6818,3
261.5178,75.8947,14.1053,1055,-33.6364,3
260.2378,75.9145,14.0855,1075,-34.5455,3
259.1441,76.0581,13.9419,1093,-35.3636,3
258.2474,75.8748,14.1252,1110,-36.1364,3
256.5311,76.1896,13.8104,1124,-36.7727,3
254.5960,76.3079,13.6921,1136,-37.3182,3
253.1294,76.5026,13.4974,1150,-37.9545,3
251.5321,76.5150,13.4850,1178,-39.2273,3
249.7483,76.1658,13.8342,1194,-39.9545,3
247.7653,75.8882,14.1118,1223,-41.2727,3
246.1545,75.5882,14.4118,1263,-43.0909,3
244.2508,75.4987,14.5013,1269,-43.3636,3
242.7255,75.5718,14.4282,1274,-43.5909,3
241.4498,75.3425,14.6575,1274,-43.5909,3
240.3752,75.4912,14.5088,1268,-43.3182,3
238.9777,75.2897,14.7103,1264,-43.1364,3
237.4256,75.2879,14.7121,1267,-43.2727,3
235.7369,75.4292,14.5708,1267,-43.2727,3
234.4125,75.8932,14.1067,1266,-43.2273,3
232.0803,75.6051,14.3949,1272,-43.5000,3
229.6342,75.3079,14.6921,1268,-43.3182,3
228.1419,75.5138,14.4862,1242,-42.1364,3
227.1683,75.3130,14.6870,1211,-40.7273,3
226.3024,75.6131,14.3869,1185,-39.5455,3
225.1519,76.3644,13.6356,1196,-40.0455,3
223.6458,75.9232,14.0768,1195,-40.0000,3
222.2775,76.1531,13.8469,1190,-39.7727,3
220.9296,76.1509,13.8491,1177,-39.1818,3
219.2709,76.6731,13.3269,1172,-38.9545,3
217.5699,76.5870,13.4130,1166,-38.6818,3
215.8899,76.9925,13.0075,1162,-38.5000,3
213.8827,76.8919,13.1081,1164,-38.5909,3
212.0738,76.8081,13.1919,1162,-38.5000,3
210.9519,76.7729,13.2271,1172,-38.9545,3
210.4297,76.3641,13.6359,1189,-39.7273,3
209.6777,76.9411,13.0589,1193,-39.9091,3
208.3411,76.3803,13.6197,1206,-40.5000,3
206.8526,76.4834,13.5166,1205,-40.4545,3
205.8050,76.3751,13.6249,1201,-40.2727,3
204.1459,76.9537,13.0463,1197,-40.0909,3
202.1490,76.3596,13.6404,1181,-39.3636,3
200.4854,76.6507,13.3493,1180,-39.3182,3
198.4926,76.8089,13.1911,1185,-39.5455,3
196.4457,76.7170,13.2830,1172,-38.9545,3
194.9525,76.7805,13.2195,1173,-39.0000,3
193.7936,76.6770,13.3230,1178,-39.2273,3
192.7947,76.9151,13.0849,1192,-39.8636,3
191.5076,76.9842,13.0158,1175,-39.0909,3
190.3865,76.9486,13.0514,1209,-40.6364,3
189.1857,77.4856,12.5144,1224,-41.3182,3
187.7130,77.6452,12.3548,1229,-41.5455,3
186.4536,77.9875,12.0125,1233,-41.7273,3
185.2777,78.2473,11.7527,1244,-42.2273,3
183.5675,78.5548,11.4452,1255,-42.7273,3
181.5108,78.3269,11.6731,1252,-42.5909,3
180.3379,78.4479,11.5521,1251,-42.5455,3
179.9072,77.9249,12.0751,1218,-41.0455,3
179.1318,77.7562,12.2438,1204,-40.4091,3
178.4425,77.3562,12.6438,1189,-39.7273,3
178.2228,76.9042,13.0958,1183,-39.4545,3
177.6894,76.6637,13.3363,1182,-39.4091,3
176.7264,76.7212,13.2788,1175,-39.0909,3
175.6556,77.0216,12.9784,1181,-39.3636,3
174.1404,77.3806,12.6194,1168,-38.7727,3
172.2418,78.1002,11.8998,1141,-37.5455,3
171.3666,77.7692,12.2308,1124,-36.7727,3
169.8637,77.8437,12.1563,1115,-36.3636,3
167.9899,78.0964,11.9036,1120,-36.5909,3
