phi,theta,elev,mv,dbm,cal
346.5539,80.3236,9.6764,924,-27.6818,3
346.4529,80.0991,9.9009,924,-27.6818,3
346.5753,80.2142,9.7858,923,-27.6364,3
346.4489,79.8774,10.1225,924,-27.6818,3
346.2045,80.0427,9.9573,923,-27.6364,3
346.0457,80.1714,9.8286,924,-27.6818,3
345.8512,80.0768,9.9232,926,-27.7727,3
345.9272,80.0093,9.9907,922,-27.5909,3
346.0667,80.0406,9.9594,923,-27.6364,3
345.7134,80.1322,9.8678,923,-27.6364,3
345.2877,79.7909,10.2091,924,-27.6818,3
344.9352,79.7003,10.2997,921,-27.5455,3
344.1325,79.8918,10.1082,919,-27.4545,3
342.9928,79.7161,10.2839,920,-27.5000,3
342.5393,79.6527,10.3473,920,-27.5000,3
342.0412,79.8859,10.1140,923,-27.6364,3
341.1000,79.9454,10.0546,926,-27.7727,3
340.4828,80.2576,9.7424,927,-27.8182,3
339.8988,80.5586,9.4414,928,-27.8636,3
339.0911,80.7002,9.2998,930,-27.9545,3
337.9149,81.2181,8.7819,927,-27.8182,3
337.3046,81.0890,8.9110,930,-27.9545,3
336.5912,80.9984,9.0016,930,-27.9545,3
336.4338,81.0357,8.9643,935,-28.1818,3
336.1367,80.9202,9.0797,937,-28.2727,3
335.2751,80.9659,9.0341,942,-28.5000,3
334.6397,81.1370,8.8630,945,-28.6364,3
333.6105,80.8867,9.1133,948,-28.7727,3
333.0148,81.2442,8.7558,949,-28.8182,3
332.2941,80.8510,9.1490,949,-28.8182,3
331.3395,81.3471,8.6529,950,-28.8636,3
330.5578,81.2186,8.7814,943,-28.5455,3
329.4906,80.9033,9.0967,941,-28.4545,3
328.4446,81.2842,8.7158,965,-29.5455,3
327.1921,81.5205,8.4795,932,-28.0455,3
325.9123,81.9243,8.0757,926,-27.7727,3
324.4837,81.4301,8.5699,922,-27.5909,3
323.9865,81.6931,8.3069,917,-27.3636,3
323.2668,81.6825,8.3175,918,-27.4091,3
322.0140,81.5205,8.4795,921,-27.5455,3
321.1808,81.3307,8.6693,922,-27.5909,3
320.0503,81.8043,8.1957,921,-27.5455,3
318.5057,82.0093,7.9907,920,-27.5000,3
316.9504,81.9195,8.0805,920,-27.5000,3
314.9686,81.1228,8.8772,922,-27.5909,3
314.0675,81.5450,8.4550,924,-27.6818,3
312.9202,81.8808,8.1192,926,-27.7727,3
311.9561,82.1469,7.8531,926,-27.7727,3
311.2141,82.0806,7.9194,929,-27.9091,3
311.1359,82.0313,7.9687,936,-28.2273,3
310.4745,82.2391,7.7609,942,-28.5000,3
309.8218,82.7707,7.2293,936,-28.2273,3
309.3731,83.0556,6.9444,942,-28.5000,3
308.6866,82.8327,7.1673,947,-28.7273,3
307.9333,82.8531,7.1469,952,-28.9545,3
307.5153,82.7236,7.2764,957,-29.1818,3
307.0120,83.0344,6.9656,960,-29.3182,3
306.3679,83.2051,6.7949,960,-29.3182,3
305.6383,83.2168,6.7832,960,-29.3182,3
304.7233,83.1005,6.8995,961,-29.3636,3
303.7758,82.9820,7.0180,958,-29.2273,3
302.7430,83.0498,6.9502,953,-29.0000,3
301.3748,82.9627,7.0373,950,-28.8636,3
300.0110,82.8578,7.1422,948,-28.7727,3
298.5383,82.6050,7.3950,949,-28.8182,3
297.3886,81.1366,8.8634,951,-28.9091,3
296.0981,80.8759,9.1241,962,-29.4091,3
294.9128,80.8927,9.1073,969,-29.7273,3
293.7309,80.8500,9.1500,973,-29.9091,3
292.7572,80.5721,9.4279,979,-30.1818,3
291.7627,80.3940,9.6060,975,-30.0000,3
290.8619,80.1231,9.8769,967,-29.6364,3
289.9621,79.9724,10.0276,960,-29.3182,3
288.4392,80.0911,9.9089,954,-29.0455,3
286.4717,80.7177,9.2823,950,-28.8636,3
284.1690,80.8180,9.1820,943,-28.5455,3
282.5511,80.5908,9.4092,938,-28.3182,3
281.5648,80.4858,9.5142,939,-28.3636,3
280.7317,79.9842,10.0158,948,-28.7727,3
279.6054,80.4474,9.5526,949,-28.8182,3
278.2563,80.7076,9.2924,953,-29.0000,3
277.1740,80.6292,9.3708,958,-29.2273,3
276.0589,81.1448,8.8552,958,-29.2273,3
275.4454,81.2323,8.7677,961,-29.3636,3
273.6658,80.6135,9.3865,961,-29.3636,3
272.8958,80.8128,9.1872,964,-29.5000,3
272.4284,80.5825,9.4175,972,-29.8636,3
271.4513,80.7274,9.2726,974,-29.9545,3
270.1828,80.8381,9.1619,976,-30.0455,3
269.1084,81.7114,8.2886,979,-30.1818,3
268.1281,82.8215,7.1785,979,-30.1818,3
266.6563,82.7604,7.2396,989,-30.6364,3
265.3224,82.5788,7.4212,998,-31.0455,3
264.1285,82.5747,7.4253,1007,-31.4545,3
263.0098,82.8964,7.1036,1010,-31.5909,3
261.7923,82.9699,7.0301,1013,-31.7273,3
260.7601,83.3036,6.6964,1018,-31.9545,3
259.5014,83.2404,6.7596,1026,-32.3182,3
258.4457,83.3480,6.6520,1031,-32.5455,3
257.3154,82.9659,7.0341,1033,-32.6364,3
256.3334,82.7529,7.2471,1037,-32.8182,3
255.9748,82.6311,7.3689,1039,-32.9091,3
255.1085,82.4530,7.5470,1041,-33.0000,3
254.4561,82.2140,7.7860,1038,-32.8636,3
252.8796,82.4523,7.5477,1045,-33.1818,3
251.2741,82.8631,7.1369,1053,-33.5455,3
249.9479,83.0316,6.9684,1067,-34.1818,3
248.6001,82.6283,7.3717,1077,-34.6364,3
247.3086,82.7893,7.2107,1105,-35.9091,3
246.0855,82.6079,7.3921,1101,-35.7273,3
244.9496,82.8287,7.1713,1093,-35.3636,3
244.0372,82.8884,7.1116,1086,-35.0455,3
243.2026,82.6943,7.3057,1085,-35.0000,3
242.3462,83.1717,6.8283,1094,-35.4091,3
241.2769,83.4395,6.5605,1113,-36.2727,3
240.1010,83.5702,6.4298,1130,-37.0455,3
239.1234,83.6256,6.3744,1146,-37.7727,3
237.6118,83.4652,6.5348,1160,-38.4091,3
236.0362,83.4865,6.5135,1132,-37.1364,3
234.5999,83.2840,6.7160,1183,-39.4545,3
233.1810,82.9627,7.0373,1196,-40.0455,3
231.1387,83.1830,6.8170,1203,-40.3636,3
229.3295,82.9319,7.0681,1191,-39.8182,3
228.1842,83.0121,6.9879,1156,-38.2273,3
227.1328,82.7753,7.2247,1124,-36.7727,3
225.3272,82.7980,7.2020,1098,-35.5909,3
223.5528,82.5898,7.4102,1087,-35.0909,3
223.0623,82.7171,7.2829,1079,-34.7273,3
222.6982,82.6242,7.3758,1084,-34.9545,3
222.0980,83.1115,6.8885,1093,-35.3636,3
221.0581,83.0358,6.9642,1105,-35.9091,3
219.9096,82.7984,7.2016,1125,-36.8182,3
218.5287,82.7580,7.2420,1140,-37.5000,3
216.8119,82.7659,7.2341,1151,-38.0000,3
215.2208,82.7768,7.2232,1153,-38.0909,3
213.6622,82.7546,7.2454,1156,-38.2273,3
211.8236,82.4189,7.5811,1152,-38.0455,3
209.9484,82.5120,7.4880,1134,-37.2273,3
208.8578,82.7197,7.2803,1116,-36.4091,3
207.7264,82.5703,7.4297,1118,-36.5000,3
206.6770,82.6605,7.3395,1132,-37.1364,3
205.7347,82.8057,7.1943,1148,-37.8636,3
204.3458,82.8543,7.1457,1140,-37.5000,3
203.3586,83.2723,6.7277,1129,-37.0000,3
202.6219,83.0592,6.9408,1117,-36.4545,3
201.8149,83.1818,6.8182,1114,-36.3182,3
200.6266,83.1425,6.8575,1107,-36.0000,3
199.6870,83.1483,6.8517,1105,-35.9091,3
198.5048,83.2514,6.7486,1100,-35.6818,3
197.1936,83.1728,6.8272,1095,-35.4545,3
196.0292,83.3004,6.6996,1086,-35.0455,3
194.4703,83.3444,6.6556,1084,-34.9545,3
193.3452,83.9410,6.0590,1083,-34.9091,3
192.0616,84.1687,5.8313,1086,-35.0455,3
191.4406,84.6281,5.3719,1085,-35.0000,3
190.5764,84.3686,5.6314,1081,-34.8182,3
189.4894,84.4946,5.5054,1082,-34.8636,3
188.9324,84.6767,5.3233,1077,-34.6364,3
188.3056,84.7799,5.2201,1074,-34.5000,3
186.7699,84.7285,5.2715,1074,-34.5000,3
185.4427,84.4841,5.5159,1069,-34.2727,3
183.8584,84.3374,5.6626,1067,-34.1818,3
182.0702,84.3274,5.6726,1064,-34.0455,3
179.8426,84.2350,5.7650,1058,-33.7727,3
178.2191,84.2742,5.7258,1055,-33.6364,3
176.3411,83.9536,6.0464,1052,-33.5000,3
174.7316,83.7933,6.2067,1054,-33.5909,3
173.7261,83.2195,6.7805,1058,-33.7727,3
172.6876,83.6260,6.3740,1058,-33.7727,3
171.5811,83.3904,6.6096,1078,-34.6818,3
170.0124,83.5638,6.4362,1091,-35.2727,3
169.6042,84.1736,5.8264,1104,-35.8636,3
169.1273,84.0407,5.9593,1111,-36.1818,3
167.3091,84.6723,5.3277,1111,-36.1818,3
165.7891,84.3095,5.6905,1114,-36.3182,3
164.1378,84.1648,5.8352,1118,-36.5000,3
162.7167,84.2653,5.7347,1118,-36.5000,3
161.6702,84.2368,5.7632,1112,-36.2273,3
160.4320,84.4585,5.5415,1104,-35.8636,3
159.0663,84.3334,5.6666,1086,-35.0455,3
158.1393,84.3946,5.6054,1085,-35.0000,3
156.8774,84.3593,5.6407,1095,-35.4545,3
155.5932,84.1635,5.8365,1090,-35.2273,3
154.3615,84.3607,5.6393,1084,-34.9545,3
153.3379,84.4123,5.5877,1076,-34.5909,3
152.4995,84.2368,5.7632,1073,-34.4545,3
151.8168,83.1538,6.8462,1070,-34.3182,3
151.5654,82.9171,7.0829,1060,-33.8636,3
151.2091,82.7880,7.2120,1049,-33.3636,3
150.3924,82.9290,7.0710,1044,-33.1364,3
149.5693,82.8045,7.1955,1035,-32.7273,3
147.5689,83.0844,6.9156,1029,-32.4545,3
145.3096,83.3236,6.6764,1024,-32.2273,3
143.1166,82.8420,7.1580,1020,-32.0455,3
140.7836,82.9213,7.0787,1018,-31.9545,3
139.4215,83.5922,6.4078,1012,-31.6818,3
137.4645,83.6781,6.3219,1014,-31.7727,3
135.5214,83.9264,6.0736,1015,-31.8182,3
134.2075,83.9327,6.0673,1018,-31.9545,3
132.8154,84.0669,5.9331,1020,-32.0455,3
131.6058,84.6124,5.3876,1019,-32.0000,3
131.6152,84.6278,5.3722,1012,-31.6818,3
131.0247,84.5926,5.4074,1008,-31.5000,3
130.0199,84.4060,5.5940,1004,-31.3182,3
129.5908,84.4415,5.5585,990,-30.6818,3
129.5815,84.5732,5.4268,980,-30.2273,3
128.7252,84.8120,5.1880,972,-29.8636,3
127.5860,84.9218,5.0782,964,-29.5000,3
126.8521,84.8860,5.1140,955,-29.0909,3
125.4739,85.0166,4.9834,946,-28.6818,3
124.6094,85.0623,4.9377,937,-28.2727,3
123.3831,84.4095,5.5905,928,-27.8636,3
121.9407,84.7873,5.2127,920,-27.5000,3
120.0284,84.9337,5.0663,914,-27.2273,3
118.8435,84.8705,5.1295,915,-27.2727,3
117.4523,84.6986,5.3014,912,-27.1364,3
116.1218,84.6852,5.3148,911,-27.0909,3
114.5599,84.0971,5.9029,912,-27.1364,3
112.8536,84.2599,5.7401,912,-27.1364,3
111.2061,84.2998,5.7002,913,-27.1818,3
109.4545,84.7812,5.2188,915,-27.2727,3
107.3447,85.1635,4.8365,914,-27.2273,3
105.5055,84.9401,5.0599,920,-27.5000,3
104.5425,85.1705,4.8295,926,-27.7727,3
103.6588,85.2119,4.7881,931,-28.0000,3
102.2499,85.3259,4.6742,935,-28.1818,3
100.8239,85.5307,4.4693,936,-28.2273,3
99.4596,85.6632,4.3368,940,-28.4091,3
98.9567,85.9209,4.0791,948,-28.7727,3
98.6844,85.3787,4.6213,953,-29.0000,3
97.4386,85.6310,4.3690,954,-29.0455,3
96.2484,85.4180,4.5820,958,-29.2273,3
95.6397,85.6380,4.3620,959,-29.2727,3
94.5287,85.6406,4.3594,962,-29.4091,3
92.9133,85.1770,4.8230,958,-29.2273,3
91.8736,84.8842,5.1158,950,-28.8636,3
90.5378,85.0911,4.9089,946,-28.6818,3
88.8142,84.5340,5.4660,940,-28.4091,3
86.8739,84.6080,5.3920,939,-28.3636,3
85.0323,84.3815,5.6185,938,-28.3182,3
83.7772,83.9040,6.0960,936,-28.2273,3
82.8146,83.4160,6.5840,934,-28.1364,3
82.1817,83.5661,6.4339,937,-28.2727,3
81.4821,83.4803,6.5197,933,-28.0909,3
80.2734,83.2751,6.7249,931,-28.0000,3
78.9941,83.3667,6.6333,935,-28.1818,3
77.9640,83.7116,6.2884,941,-28.4545,3
76.3508,83.9842,6.0158,952,-28.9545,3
74.8886,84.1442,5.8558,957,-29.1818,3
73.8436,84.1530,5.8470,961,-29.3636,3
72.3269,84.4282,5.5718,957,-29.1818,3
70.5834,84.6218,5.3782,952,-28.9545,3
68.9972,84.9974,5.0026,954,-29.0455,3
66.7026,85.2116,4.7884,959,-29.2727,3
64.5080,85.4456,4.5544,968,-29.6818,3
62.9235,84.9162,5.0838,979,-30.1818,3
61.8106,84.8805,5.1195,979,-30.1818,3
60.2628,84.5911,5.4089,984,-30.4091,3
59.2776,84.8293,5.1707,987,-30.5455,3
57.9381,85.0709,4.9291,989,-30.6364,3
56.2054,84.9374,5.0626,987,-30.5455,3
54.5230,84.6044,5.3956,984,-30.4091,3
52.4409,84.2569,5.7431,985,-30.4545,3
50.2446,84.1898,5.8102,985,-30.4545,3
48.6350,84.2128,5.7872,989,-30.6364,3
46.7778,84.0331,5.9669,993,-30.8182,3
45.5599,83.9277,6.0723,993,-30.8182,3
45.0296,83.8160,6.1840,985,-30.4545,3
44.5378,84.2094,5.7905,982,-30.3182,3
43.6168,83.8968,6.1032,974,-29.9545,3
42.4583,83.9861,6.0139,964,-29.5000,3
41.4622,84.4501,5.5499,956,-29.1364,3
40.4744,84.2923,5.7077,944,-28.5909,3
39.0867,84.4100,5.5900,942,-28.5000,3
38.1139,84.3512,5.6488,951,-28.9091,3
37.0736,84.7481,5.2519,958,-29.2273,3
35.4250,84.5529,5.4471,955,-29.0909,3
31.5155,84.4922,5.5078,946,-28.6818,3
31.5155,84.4922,5.5078,933,-28.0909,3
29.1326,84.6070,5.3930,927,-27.8182,3
27.3451,84.8550,5.1450,927,-27.8182,3
24.9112,84.4651,5.5349,935,-28.1818,3
24.9112,84.4651,5.5349,950,-28.8636,3
23.7117,84.1459,5.8542,964,-29.5000,3
22.4965,84.2413,5.7587,972,-29.8636,3
19.8715,84.3899,5.6101,971,-29.8182,3
19.8715,84.3899,5.6101,967,-29.6364,3
18.5935,84.3052,5.6948,952,-28.9545,3
17.4903,84.6572,5.3428,939,-28.3636,3
16.0625,84.1789,5.8211,927,-27.8182,3
14.5799,84.3422,5.6578,920,-27.5000,3
12.9577,84.2168,5.7832,914,-27.2273,3
11.0595,84.4129,5.5871,909,-27.0000,3
8.5614,84.0070,5.9930,901,-26.6364,3
8.5614,84.0070,5.9930,897,-26.4545,3
6.5973,83.6283,6.3717,902,-26.6818,3
5.6346,84.1343,5.8657,903,-26.7273,3
3.5353,84.0472,5.9528,908,-26.9545,3
1.8078,83.9117,6.0883,915,-27.2727,3
0.2812,84.1323,5.8677,927,-27.8182,3
