phi,theta,elev,mv,dbm,cal
359.5231,74.9635,15.0365,1272,-41.8182,3
359.4647,74.9881,15.0119,1270,-41.7273,3
359.3946,74.8422,15.1578,1263,-41.4091,3
359.3639,74.7786,15.2214,1235,-40.1364,3
359.3718,74.8144,15.1856,1260,-41.2727,3
359.3167,74.8463,15.1537,1257,-41.1364,3
359.3260,74.7821,15.2179,1245,-40.5909,3
359.4164,74.7760,15.2240,1254,-41.0000,3
359.5157,74.8910,15.1090,1264,-41.4545,3
359.6541,74.8394,15.1606,1251,-40.8636,3
359.8309,74.7944,15.2056,1233,-40.0455,3
0.0234,74.7577,15.2423,1233,-40.0455,3
0.0667,74.8830,15.1170,1258,-41.1818,3
0.0402,74.7362,15.2638,1265,-41.5000,3
0.0595,74.6211,15.3789,1260,-41.2727,3
0.1024,74.7456,15.2544,1257,-41.1364,3
0.1913,74.7125,15.2875,1211,-39.0455,3
0.3091,74.6922,15.3078,1213,-39.1364,3
0.4051,74.6595,15.3405,1230,-39.9091,3
0.4808,74.8533,15.1467,1230,-39.9091,3
0.5243,74.8863,15.1137,1255,-41.0455,3
0.4509,74.8686,15.1314,1245,-40.5909,3
0.4599,74.9106,15.0894,1252,-40.9091,3
0.3599,74.9579,15.0421,1202,-38.6364,3
0.3392,75.1070,14.8930,1250,-40.8182,3
0.2986,75.1935,14.8065,1253,-40.9545,3
0.3111,75.1935,14.8065,1249,-40.7727,3
0.3282,75.0448,14.9552,1254,-41.0000,3
0.3768,75.0918,14.9082,1247,-40.6818,3
0.3245,75.2426,14.7574,1256,-41.0909,3
0.3479,75.2839,14.7161,1256,-41.0909,3
0.3453,75.4251,14.5749,1223,-39.5909,3
0.3349,75.8422,14.1578,1218,-39.3636,3
0.4565,75.7233,14.2767,1217,-39.3182,3
0.5462,75.6410,14.3590,1254,-41.0000,3
0.4949,75.8195,14.1804,1245,-40.5909,3
0.6560,75.6072,14.3928,1251,-40.8636,3
0.7380,75.5606,14.4394,1258,-41.1818,3
0.6736,75.3870,14.6130,1219,-39.4091,3
0.4696,75.0926,14.9074,1228,-39.8182,3
0.4684,75.0435,14.9565,1152,-36.3636,3
0.4918,75.1908,14.8092,1262,-41.3636,3
0.6128,75.0932,14.9068,1260,-41.2727,3
0.5990,75.1577,14.8423,1238,-40.2727,3
0.7078,74.8916,15.1084,1255,-41.0455,3
0.7169,74.7712,15.2288,1223,-39.5909,3
0.6432,74.6257,15.3743,1240,-40.3636,3
0.3974,74.4335,15.5665,1266,-41.5455,3
0.2595,74.2497,15.7503,1268,-41.6364,3
0.3171,73.8152,16.1848,1266,-41.5455,3
0.1938,73.4961,16.5039,1264,-41.4545,3
0.2049,73.5580,16.4420,1263,-41.4091,3
0.4971,73.8264,16.1736,1251,-40.8636,3
0.5884,73.9289,16.0711,1238,-40.2727,3
0.1286,73.8695,16.1305,1182,-37.7273,3
359.7429,73.9192,16.0808,1257,-41.1364,3
359.5592,74.0438,15.9562,1275,-41.9545,3
358.9234,74.0325,15.9675,1283,-42.3182,3
357.8858,73.9085,16.0915,1292,-42.7273,3
356.2139,73.9881,16.0119,1297,-42.9545,3
354.1447,74.0782,15.9218,1298,-43.0000,3
352.2496,74.1410,15.8590,1286,-42.4545,3
350.3960,74.7039,15.2961,1274,-41.9091,3
348.8909,74.7019,15.2981,1283,-42.3182,3
347.6143,75.1450,14.8550,1295,-42.8636,3
346.5406,75.5732,14.4268,1313,-43.6818,3
345.8286,75.4053,14.5947,1308,-43.4545,3
345.7408,75.2885,14.7115,1309,-43.5000,3
345.9947,74.7954,15.2046,1178,-37.5455,3
346.2370,74.4345,15.5655,1320,-44.0000,3
346.8641,74.2266,15.7734,1312,-43.6364,3
347.1984,74.5239,15.4761,1303,-43.2273,3
347.4563,74.8111,15.1889,1276,-42.0000,3
347.5030,74.7306,15.2694,1322,-44.0909,3
346.8293,74.6911,15.3089,1326,-44.2727,3
346.1334,74.2821,15.7179,1330,-44.4545,3
345.8500,74.1591,15.8409,1318,-43.9091,3
344.5601,74.3251,15.6749,1334,-44.6364,3
342.7190,74.2736,15.7264,1330,-44.4545,3
341.3162,74.5293,15.4707,1338,-44.8182,3
340.0244,74.6161,15.3839,1342,-45.0000,3
338.8776,74.7796,15.2204,1352,-45.4545,3
337.9576,74.8063,15.1937,1320,-44.0000,3
336.7438,75.3136,14.6864,1351,-45.4091,3
335.1136,75.5820,14.4180,1321,-44.0455,3
333.4448,75.5666,14.4334,1339,-44.8636,3
331.8008,75.9528,14.0472,1324,-44.1818,3
330.1134,76.3410,13.6590,1318,-43.9091,3
328.9108,75.8740,14.1260,1329,-44.4091,3
328.3031,75.5150,14.4850,1309,-43.5000,3
327.6475,75.5416,14.4584,1330,-44.4545,3
326.7105,75.5754,14.4246,1333,-44.5909,3
325.8382,75.3538,14.6462,1344,-45.0909,3
324.9711,75.3781,14.6219,1329,-44.4091,3
324.2426,75.2330,14.7670,1312,-43.6364,3
323.2952,75.4283,14.5717,1289,-42.5909,3
321.8480,75.2846,14.7154,1316,-43.8182,3
320.7619,75.2278,14.7722,1301,-43.1364,3
319.9406,74.9498,15.0502,1292,-42.7273,3
318.6857,74.8442,15.1558,1310,-43.5455,3
317.7036,74.6660,15.3340,1301,-43.1364,3
317.1823,74.4109,15.5891,1280,-42.1818,3
316.4434,74.3764,15.6236,1278,-42.0909,3
315.8037,74.1738,15.8262,1294,-42.8182,3
315.6071,73.9429,16.0571,1287,-42.5000,3
315.2732,73.8457,16.1543,1296,-42.9091,3
314.7949,73.4913,16.5087,1316,-43.8182,3
314.6519,73.0140,16.9860,1297,-42.9545,3
314.3598,73.1108,16.8892,1292,-42.7273,3
313.6627,73.1965,16.8035,1304,-43.2727,3
312.7803,72.9893,17.0107,1322,-44.0909,3
311.8943,72.8938,17.1062,1325,-44.2273,3
310.9631,72.8228,17.1772,1328,-44.3636,3
310.2599,72.6094,17.3906,1328,-44.3636,3
309.1618,72.7793,17.2207,1309,-43.5000,3
307.9866,72.9224,17.0776,1319,-43.9545,3
306.7561,72.9525,17.0475,1336,-44.7273,3
305.6730,72.8937,17.1063,1358,-45.7273,3
304.7256,72.8955,17.1045,1376,-46.5455,3
303.5353,73.0907,16.9093,1371,-46.3182,3
302.1627,72.8611,17.1389,1390,-47.1818,3
300.8818,72.7861,17.2139,1396,-47.4545,3
299.8651,73.0262,16.9738,1423,-48.6818,3
298.9659,72.9933,17.0067,1435,-49.2273,3
298.0042,73.4189,16.5811,1440,-49.4545,3
297.1260,73.6939,16.3061,1431,-49.0455,3
296.3687,73.9451,16.0549,1419,-48.5000,3
295.5471,74.0641,15.9359,1408,-48.0000,3
294.6633,73.8470,16.1530,1378,-46.6364,3
293.8290,73.5644,16.4356,1374,-46.4545,3
292.9747,73.6984,16.3016,1392,-47.2727,3
292.4922,73.6320,16.3680,1381,-46.7727,3
291.9921,73.6043,16.3957,1379,-46.6818,3
291.4236,73.7273,16.2727,1385,-46.9545,3
291.1053,73.7472,16.2528,1400,-47.6364,3
290.6519,73.8566,16.1434,1413,-48.2273,3
289.7577,73.8364,16.1636,1416,-48.3636,3
288.8755,73.5482,16.4518,1429,-48.9545,3
287.9655,73.7864,16.2136,1424,-48.7273,3
287.1301,74.2733,15.7267,1404,-47.8182,3
286.0761,73.6270,16.3730,1386,-47.0000,3
284.5833,73.3893,16.6107,1381,-46.7727,3
283.6323,73.9256,16.0744,1362,-45.9091,3
283.4596,73.9061,16.0939,1365,-46.0455,3
282.7381,74.0832,15.9168,1354,-45.5455,3
281.8719,74.3170,15.6830,1341,-44.9545,3
281.0215,73.8845,16.1155,1356,-45.6364,3
279.9586,73.7109,16.2891,1353,-45.5000,3
279.3748,73.4413,16.5587,1334,-44.6364,3
279.1249,73.3112,16.6888,1328,-44.3636,3
279.0850,73.1817,16.8183,1327,-44.3182,3
278.9029,73.3342,16.6658,1330,-44.4545,3
278.4679,73.3340,16.6660,1326,-44.2727,3
277.8701,73.3106,16.6894,1324,-44.1818,3
276.7991,73.5297,16.4703,1306,-43.3636,3
275.8330,73.5637,16.4363,1280,-42.1818,3
275.1132,73.3400,16.6601,1283,-42.3182,3
274.2003,73.2721,16.7279,1272,-41.8182,3
273.4576,73.1621,16.8379,1289,-42.5909,3
273.0370,72.8255,17.1745,1292,-42.7273,3
272.2968,73.0711,16.9289,1279,-42.1364,3
271.8376,73.1961,16.8039,1277,-42.0455,3
271.4483,73.3653,16.6347,1248,-40.7273,3
