phi,theta,elev,mv,dbm,cal
359.6281,89.2572,0.7428,1199,-38.5000,3
359.5463,89.3044,0.6956,1199,-38.5000,3
359.4799,89.2322,0.7678,1206,-38.8182,3
359.7269,89.2238,0.7762,1205,-38.7727,3
359.8725,89.1693,0.8307,1197,-38.4091,3
359.5344,89.1119,0.8881,1197,-38.4091,3
358.9117,88.9085,1.0915,1205,-38.7727,3
358.7810,88.9353,1.0647,1194,-38.2727,3
358.6899,88.9099,1.0901,1205,-38.7727,3
358.0937,88.9334,1.0665,1219,-39.4091,3
356.8809,88.8405,1.1595,1226,-39.7273,3
355.9124,89.0392,0.9608,1228,-39.8182,3
355.1855,89.0071,0.9929,1230,-39.9091,3
353.8236,88.8917,1.1083,1224,-39.6364,3
352.5406,88.8332,1.1668,1225,-39.6818,3
352.2269,89.3546,0.6454,1217,-39.3182,3
351.4358,89.3344,0.6656,1200,-38.5455,3
350.2614,89.2604,0.7396,1199,-38.5000,3
349.7186,89.4613,0.5387,1200,-38.5455,3
349.2401,89.7468,0.2532,1202,-38.6364,3
347.5553,89.5032,0.4968,1195,-38.3182,3
346.0238,89.6592,0.3408,1191,-38.1364,3
344.6813,89.8943,0.1057,1200,-38.5455,3
343.6190,89.7114,0.2886,1210,-39.0000,3
341.9457,89.5250,0.4750,1210,-39.0000,3
340.6469,88.9346,1.0654,1214,-39.1818,3
339.6347,88.7254,1.2746,1223,-39.5909,3
338.0568,88.2792,1.7208,1228,-39.8182,3
336.9412,87.8204,2.1795,1236,-40.1818,3
336.0400,87.8813,2.1187,1234,-40.0909,3
335.7337,87.4571,2.5429,1229,-39.8636,3
335.4152,87.2815,2.7185,1243,-40.5000,3
335.3153,86.7048,3.2952,1245,-40.5909,3
335.4221,86.5123,3.4877,1245,-40.5909,3
335.7554,86.6748,3.3252,1240,-40.3636,3
336.1030,86.8499,3.1501,1247,-40.6818,3
336.1711,86.9749,3.0251,1253,-40.9545,3
336.9120,86.9739,3.0261,1251,-40.8636,3
337.4445,87.1686,2.8314,1245,-40.5909,3
337.7289,87.0339,2.9662,1246,-40.6364,3
338.0009,87.2402,2.7598,1247,-40.6818,3
338.2487,87.2929,2.7071,1249,-40.7727,3
338.2518,87.2659,2.7341,1248,-40.7273,3
338.2831,87.2067,2.7933,1250,-40.8182,3
338.4891,87.1782,2.8218,1250,-40.8182,3
338.5832,87.2407,2.7593,1232,-40.0000,3
338.8527,87.1628,2.8372,1240,-40.3636,3
338.9024,87.0422,2.9578,1241,-40.4091,3
339.0432,86.7438,3.2562,1248,-40.7273,3
338.9743,86.8515,3.1485,1247,-40.6818,3
339.0252,86.9704,3.0296,1249,-40.7727,3
339.1109,86.9940,3.0060,1250,-40.8182,3
339.0365,87.0194,2.9806,1250,-40.8182,3
339.1331,87.0958,2.9042,1245,-40.5909,3
338.9587,87.1849,2.8151,1238,-40.2727,3
339.0534,87.1244,2.8756,1239,-40.3182,3
339.2331,86.9198,3.0802,1235,-40.1364,3
339.0844,86.9464,3.0536,1238,-40.2727,3
339.0707,86.9475,3.0525,1241,-40.4091,3
339.0556,86.9145,3.0855,1246,-40.6364,3
339.0179,87.0647,2.9353,1243,-40.5000,3
339.0903,87.0451,2.9549,1237,-40.2273,3
339.0435,86.8949,3.1051,1233,-40.0455,3
338.9830,86.7118,3.2882,1233,-40.0455,3
339.0191,86.7212,3.2788,1245,-40.5909,3
338.9860,86.8119,3.1882,1247,-40.6818,3
338.9640,86.8197,3.1802,1249,-40.7727,3
338.9221,86.7113,3.2887,1237,-40.2273,3
338.9123,86.5649,3.4351,1250,-40.8182,3
338.9716,86.6525,3.3475,1248,-40.7273,3
338.9846,86.4987,3.5013,1242,-40.4545,3
339.0320,86.4887,3.5113,1239,-40.3182,3
338.9337,86.5559,3.4441,1244,-40.5455,3
338.6795,86.2878,3.7122,1238,-40.2727,3
338.6393,86.4028,3.5972,1238,-40.2727,3
338.6115,86.3709,3.6291,1237,-40.2273,3
338.2817,86.1076,3.8924,1248,-40.7273,3
338.2234,86.0735,3.9265,1248,-40.7273,3
337.9569,85.8941,4.1059,1249,-40.7727,3
337.8303,85.7471,4.2529,1246,-40.6364,3
337.6381,85.5539,4.4461,1244,-40.5455,3
337.5229,85.4771,4.5229,1248,-40.7273,3
337.5014,85.2599,4.7401,1238,-40.2727,3
337.4881,85.2411,4.7589,1249,-40.7727,3
337.0973,84.9640,5.0360,1243,-40.5000,3
336.7243,84.7153,5.2847,1241,-40.4091,3
336.4597,84.7440,5.2560,1245,-40.5909,3
336.1969,84.6203,5.3797,1243,-40.5000,3
335.9479,84.5236,5.4764,1238,-40.2727,3
335.3345,84.5244,5.4756,1243,-40.5000,3
334.3216,84.3716,5.6284,1242,-40.4545,3
333.4106,84.3840,5.6160,1248,-40.7273,3
332.5100,84.4277,5.5723,1245,-40.5909,3
331.5175,84.3462,5.6538,1247,-40.6818,3
330.2285,84.3131,5.6869,1246,-40.6364,3
328.9836,83.8637,6.1363,1239,-40.3182,3
328.0806,84.0442,5.9558,1242,-40.4545,3
327.3817,84.0002,5.9998,1237,-40.2273,3
326.5934,83.7524,6.2476,1242,-40.4545,3
326.0985,83.7848,6.2152,1241,-40.4091,3
325.5560,83.9882,6.0118,1240,-40.3636,3
324.7922,83.6492,6.3508,1220,-39.4545,3
324.1497,83.2740,6.7260,1217,-39.3182,3
323.4621,83.1045,6.8955,1218,-39.3636,3
322.7147,82.9878,7.0122,1222,-39.5455,3
322.2540,83.2870,6.7130,1226,-39.7273,3
322.0757,83.5523,6.4477,1229,-39.8636,3
321.5903,83.5877,6.4123,1229,-39.8636,3
321.3545,83.9905,6.0095,1234,-40.0909,3
321.1168,83.8766,6.1234,1225,-39.6818,3
320.6025,83.8885,6.1115,1220,-39.4545,3
319.8569,83.5891,6.4109,1214,-39.1818,3
319.4158,83.2720,6.7280,1213,-39.1364,3
319.1150,83.2517,6.7483,1217,-39.3182,3
318.5071,82.9376,7.0624,1210,-39.0000,3
317.9341,82.6374,7.3626,1203,-38.6818,3
317.0847,82.5756,7.4244,1189,-38.0455,3
316.3857,82.8058,7.1942,1181,-37.6818,3
315.5622,82.5600,7.4400,1165,-36.9545,3
314.6723,82.2840,7.7160,1149,-36.2273,3
313.4044,82.0512,7.9488,1143,-35.9545,3
312.4043,81.6136,8.3864,1144,-36.0000,3
311.5576,81.6637,8.3363,1150,-36.2727,3
310.5217,81.6491,8.3509,1152,-36.3636,3
309.9263,81.8646,8.1354,1155,-36.5000,3
309.2130,81.8400,8.1600,1157,-36.5909,3
308.4497,81.8613,8.1387,1160,-36.7273,3
307.9622,81.8348,8.1652,1157,-36.5909,3
307.3073,81.8359,8.1641,1157,-36.5909,3
306.5340,81.7993,8.2007,1154,-36.4545,3
305.3351,81.5824,8.4176,1159,-36.6818,3
304.0138,81.8252,8.1748,1168,-37.0909,3
302.3651,81.7320,8.2680,1167,-37.0455,3
300.8672,81.3750,8.6250,1168,-37.0909,3
299.6457,81.3168,8.6832,1163,-36.8636,3
298.7205,81.4771,8.5229,1157,-36.5909,3
297.4448,81.4444,8.5556,1163,-36.8636,3
296.1934,81.3774,8.6226,1167,-37.0455,3
295.4167,81.5806,8.4194,1161,-36.7727,3
294.6193,81.4404,8.5596,1147,-36.1364,3
293.6395,81.2904,8.7096,1159,-36.6818,3
292.6524,81.2759,8.7241,1170,-37.1818,3
291.5555,81.1353,8.8647,1166,-37.0000,3
290.3613,80.8803,9.1197,1155,-36.5000,3
289.5872,81.0016,8.9984,1157,-36.5909,3
