phi,theta,elev,mv,dbm,cal
358.6366,76.3739,13.6261,1267,-41.5909,3
358.6635,76.2744,13.7256,1256,-41.0909,3
358.7182,76.2139,13.7861,1266,-41.5455,3
358.4509,76.0524,13.9476,1253,-40.9545,3
358.4185,75.7187,14.2813,1220,-39.4545,3
357.8427,75.8661,14.1338,1204,-38.7273,3
357.6891,75.7951,14.2049,1215,-39.2273,3
357.7998,75.6375,14.3625,1220,-39.4545,3
358.3467,75.6861,14.3139,1226,-39.7273,3
358.4509,76.0020,13.9980,1091,-33.5909,3
357.5956,75.8739,14.1261,1249,-40.7727,3
358.1248,75.9430,14.0570,1251,-40.8636,3
358.0916,76.2810,13.7190,1239,-40.3182,3
358.1847,76.3059,13.6941,1221,-39.5000,3
358.5605,76.0805,13.9195,1247,-40.6818,3
358.3010,76.1727,13.8273,1269,-41.6818,3
358.0157,76.2421,13.7579,1272,-41.8182,3
358.0806,76.2892,13.7108,1265,-41.5000,3
358.0650,76.4285,13.5715,1272,-41.8182,3
358.0354,76.4381,13.5619,1273,-41.8636,3
357.9055,76.4569,13.5431,1240,-40.3636,3
357.7805,76.4773,13.5227,1240,-40.3636,3
357.7883,76.3063,13.6937,1227,-39.7727,3
357.7426,76.2990,13.7010,1226,-39.7273,3
357.7791,76.2249,13.7751,1244,-40.5455,3
357.9206,76.1389,13.8611,1261,-41.3182,3
358.0591,76.1951,13.8049,1260,-41.2727,3
358.0652,76.2661,13.7339,1258,-41.1818,3
358.1204,76.1660,13.8340,1231,-39.9545,3
358.1842,76.2757,13.7243,1244,-40.5455,3
358.2060,76.3098,13.6902,1221,-39.5000,3
358.2511,76.2578,13.7422,1233,-40.0455,3
358.3741,76.1352,13.8648,1250,-40.8182,3
358.9339,75.9217,14.0783,1267,-41.5909,3
359.2299,75.7785,14.2215,1271,-41.7727,3
359.3945,75.5926,14.4074,1271,-41.7727,3
359.2789,75.6102,14.3898,1270,-41.7273,3
359.0910,75.7314,14.2686,1262,-41.3636,3
359.0871,75.6828,14.3172,1241,-40.4091,3
359.1672,75.6098,14.3902,1223,-39.5909,3
359.2341,75.7272,14.2728,1226,-39.7273,3
359.2025,75.7429,14.2571,1247,-40.6818,3
359.1300,75.7451,14.2549,1267,-41.5909,3
358.9854,75.8414,14.1586,1265,-41.5000,3
358.9350,75.7943,14.2057,1265,-41.5000,3
359.0126,75.8065,14.1935,1267,-41.5909,3
359.1893,75.7512,14.2488,1257,-41.1364,3
359.2299,75.7132,14.2867,1230,-39.9091,3
359.3024,75.7103,14.2897,1237,-40.2273,3
359.2179,75.6128,14.3872,1260,-41.2727,3
359.0039,75.5605,14.4395,1260,-41.2727,3
358.8720,75.4993,14.5007,1251,-40.8636,3
358.8770,75.4603,14.5397,1251,-40.8636,3
359.0086,75.6190,14.3810,1254,-41.0000,3
358.8315,75.6566,14.3434,1253,-40.9545,3
358.5673,75.5280,14.4720,1210,-39.0000,3
358.3996,75.5935,14.4065,1208,-38.9091,3
358.3729,75.6499,14.3501,1226,-39.7273,3
358.2469,75.6919,14.3081,1252,-40.9091,3
357.9803,75.5927,14.4073,1247,-40.6818,3
358.1463,75.2557,14.7443,1252,-40.9091,3
358.8091,75.3212,14.6788,1264,-41.4545,3
358.6259,74.9151,15.0849,1266,-41.5455,3
358.4837,74.9934,15.0066,1265,-41.5000,3
358.4982,75.1992,14.8008,1246,-40.6364,3
358.2070,74.9471,15.0529,1236,-40.1818,3
358.2925,74.4992,15.5008,1261,-41.3182,3
358.4446,74.2635,15.7365,1274,-41.9091,3
358.3013,74.3114,15.6886,1274,-41.9091,3
358.0605,74.1436,15.8564,1271,-41.7727,3
358.2290,74.0188,15.9812,1267,-41.5909,3
357.9849,74.4569,15.5431,1270,-41.7273,3
358.0520,74.4458,15.5542,1251,-40.8636,3
358.0347,74.5854,15.4146,1234,-40.0909,3
358.0897,74.6979,15.3021,1233,-40.0455,3
358.0082,74.6812,15.3188,1274,-41.9091,3
358.0945,74.5995,15.4005,1273,-41.8636,3
358.2912,74.6830,15.3170,1277,-42.0455,3
358.4725,74.7292,15.2708,1272,-41.8182,3
358.4258,74.6373,15.3627,1245,-40.5909,3
358.3079,74.5201,15.4799,1226,-39.7273,3
358.3824,74.4491,15.5509,1242,-40.4545,3
358.5495,74.3093,15.6907,1263,-41.4091,3
358.8868,74.3016,15.6984,1268,-41.6364,3
359.1008,74.6114,15.3886,1272,-41.8182,3
359.3408,74.6794,15.3206,1268,-41.6364,3
359.3283,74.7018,15.2982,1245,-40.5909,3
359.3478,74.8200,15.1800,1232,-40.0000,3
359.3071,74.9886,15.0114,1231,-39.9545,3
359.3317,74.9934,15.0066,1253,-40.9545,3
359.3941,75.0269,14.9731,1272,-41.8182,3
359.4497,75.0959,14.9041,1228,-39.8182,3
359.5276,74.8883,15.1117,1270,-41.7273,3
359.5732,74.8576,15.1424,1271,-41.7727,3
359.6718,75.0017,14.9983,1251,-40.8636,3
359.7789,75.1392,14.8608,1263,-41.4091,3
359.8216,75.1016,14.8984,1277,-42.0455,3
359.8189,75.1224,14.8776,1273,-41.8636,3
359.7999,75.1374,14.8626,1274,-41.9091,3
359.7629,74.9415,15.0585,1269,-41.6818,3
359.7917,75.0884,14.9116,1253,-40.9545,3
359.8907,75.2190,14.7810,1248,-40.7273,3
0.0099,75.1577,14.8423,1230,-39.9091,3
0.0104,75.2355,14.7645,1251,-40.8636,3
0.0833,75.2748,14.7252,1272,-41.8182,3
0.0635,75.3177,14.6823,1278,-42.0909,3
0.1305,75.1460,14.8540,1266,-41.5455,3
0.2037,75.0937,14.9063,1239,-40.3182,3
0.2649,75.1262,14.8738,1238,-40.2727,3
0.2313,75.1484,14.8516,1238,-40.2727,3
0.1942,75.1427,14.8573,1259,-41.2273,3
0.1469,74.9892,15.0108,1259,-41.2273,3
0.2035,75.0441,14.9559,1272,-41.8182,3
0.2998,75.0751,14.9249,1272,-41.8182,3
0.2481,75.2260,14.7740,1258,-41.1818,3
0.3097,75.2517,14.7483,1241,-40.4091,3
0.4334,75.2322,14.7678,1279,-42.1364,3
0.4092,75.2969,14.7031,1275,-41.9545,3
0.4073,75.1627,14.8373,1275,-41.9545,3
0.5639,75.1071,14.8929,1220,-39.4545,3
0.6315,75.0196,14.9804,1274,-41.9091,3
0.5804,75.1207,14.8793,1272,-41.8182,3
0.4699,75.3159,14.6841,1254,-41.0000,3
0.4472,75.5562,14.4438,1234,-40.0909,3
0.4283,75.5011,14.4989,1249,-40.7727,3
0.5176,75.4691,14.5309,1275,-41.9545,3
0.5245,75.6457,14.3543,1280,-42.1818,3
0.4611,75.4075,14.5925,1275,-41.9545,3
0.4471,75.2456,14.7544,1273,-41.8636,3
0.5038,75.4978,14.5022,1267,-41.5909,3
0.4656,75.5978,14.4022,1273,-41.8636,3
0.3634,75.5789,14.4211,1245,-40.5909,3
0.3179,75.4464,14.5536,1230,-39.9091,3
0.3231,75.3125,14.6875,1251,-40.8636,3
0.4689,75.2376,14.7624,1264,-41.4545,3
0.3708,75.2834,14.7166,1264,-41.4545,3
0.3979,75.2612,14.7388,1266,-41.5455,3
0.4429,75.2247,14.7753,1266,-41.5455,3
0.4409,75.1898,14.8102,1264,-41.4545,3
0.5343,75.2506,14.7494,1252,-40.9091,3
0.5518,75.3340,14.6660,1229,-39.8636,3
0.6124,75.2693,14.7307,1236,-40.1818,3
0.6191,75.3250,14.6750,1259,-41.2273,3
0.6158,75.2898,14.7102,1261,-41.3182,3
0.5801,75.2703,14.7297,1261,-41.3182,3
0.6039,75.2336,14.7664,1263,-41.4091,3
0.6232,75.1693,14.8307,1261,-41.3182,3
0.6407,75.1760,14.8240,1255,-41.0455,3
0.6299,75.2965,14.7035,1233,-40.0455,3
0.6637,75.2597,14.7403,1217,-39.3182,3
0.6222,75.2824,14.7176,1237,-40.2273,3
0.7446,75.4044,14.5956,1259,-41.2273,3
0.7411,75.5743,14.4257,1267,-41.5909,3
0.8036,75.5924,14.4076,1267,-41.5909,3
0.8171,75.5713,14.4287,1268,-41.6364,3
0.8952,75.5961,14.4039,1268,-41.6364,3
1.0179,75.6897,14.3103,1263,-41.4091,3
1.0863,75.7437,14.2563,1244,-40.5455,3
1.0514,75.8370,14.1630,1248,-40.7273,3
1.0555,75.8506,14.1494,1253,-40.9545,3
1.0409,75.8448,14.1552,1271,-41.7727,3
1.0636,75.7164,14.2836,1269,-41.6818,3
1.1842,75.6032,14.3968,1267,-41.5909,3
1.5816,75.5405,14.4595,1269,-41.6818,3
1.6795,75.7265,14.2735,1270,-41.7273,3
1.7968,75.4768,14.5232,1269,-41.6818,3
1.9228,75.5124,14.4876,1228,-39.8182,3
1.4199,75.6915,14.3085,1249,-40.7727,3
1.2855,75.7123,14.2877,1274,-41.9091,3
1.1545,75.8624,14.1376,1243,-40.5000,3
0.5601,75.6769,14.3231,1264,-41.4545,3
0.4285,75.5980,14.4020,1254,-41.0000,3
0.0792,75.8773,14.1227,1259,-41.2273,3
0.0808,75.8280,14.1720,1244,-40.5455,3
0.0235,76.0419,13.9581,1222,-39.5455,3
359.9886,75.7841,14.2159,1239,-40.3182,3
359.6952,75.3530,14.6470,1237,-40.2273,3
358.8760,75.2001,14.7999,1229,-39.8636,3
358.1039,75.1500,14.8500,1220,-39.4545,3
357.0655,75.9280,14.0720,1221,-39.5000,3
356.2961,76.6347,13.3653,1213,-39.1364,3
356.1282,76.2962,13.7038,1197,-38.4091,3
355.0703,77.1781,12.8219,1192,-38.1818,3
354.0923,77.8450,12.1550,1228,-39.8182,3
352.5653,78.4123,11.5877,1210,-39.0000,3
351.5909,79.4283,10.5717,1177,-37.5000,3
350.9785,80.7022,9.2978,1191,-38.1364,3
350.9893,81.7949,8.2051,1174,-37.3636,3
350.6321,83.5987,6.4013,1174,-37.3636,3
350.0030,84.4652,5.5348,1171,-37.2273,3
348.9122,85.7641,4.2359,1184,-37.8182,3
348.0732,86.4183,3.5817,1184,-37.8182,3
347.9777,86.9861,3.0139,1180,-37.6364,3
348.6965,88.6953,1.3047,1186,-37.9091,3
349.7759,90.0949,-0.0949,1164,-36.9091,3
350.7073,91.3565,-1.3565,1173,-37.3182,3
350.9845,92.3758,-2.3758,1188,-38.0000,3
350.4138,93.5761,-3.5761,1170,-37.1818,3
350.0049,94.0984,-4.0984,1159,-36.6818,3
350.1622,94.3535,-4.3535,1182,-37.7273,3
350.3793,94.0066,-4.0066,1196,-38.3636,3
