phi,theta,elev,mv,dbm,cal
359.9247,75.9965,14.0035,1262,-41.3636,3
359.8997,76.0545,13.9455,1264,-41.4545,3
359.9438,75.9603,14.0397,1258,-41.1818,3
359.8992,75.9058,14.0942,1230,-39.9091,3
359.8596,76.0206,13.9794,1218,-39.3636,3
359.8343,75.9721,14.0279,1246,-40.6364,3
359.7133,76.0128,13.9872,1229,-39.8636,3
359.4995,75.8935,14.1065,1252,-40.9091,3
359.2572,75.9511,14.0489,1266,-41.5455,3
358.9785,75.8940,14.1060,1274,-41.9091,3
358.6532,76.0043,13.9957,1247,-40.6818,3
357.8222,76.2196,13.7804,1252,-40.9091,3
356.8008,76.1273,13.8727,1286,-42.4545,3
355.7995,75.9694,14.0306,1258,-41.1818,3
354.4109,76.0724,13.9276,1244,-40.5455,3
352.8225,76.3788,13.6212,1228,-39.8182,3
351.3687,76.5500,13.4500,1225,-39.6818,3
349.9765,76.5991,13.4009,1226,-39.7273,3
348.1480,76.2161,13.7839,1261,-41.3182,3
346.1832,76.0094,13.9906,1274,-41.9091,3
343.9815,76.1608,13.8392,1267,-41.5909,3
342.8373,76.2982,13.7018,1324,-44.1818,3
342.1418,76.2902,13.7098,1316,-43.8182,3
341.0879,76.0662,13.9338,1280,-42.1818,3
339.9276,75.8947,14.1053,1290,-42.6364,3
339.0124,75.7983,14.2017,1269,-41.6818,3
338.0875,76.0283,13.9717,1349,-45.3182,3
337.1725,75.9964,14.0036,1350,-45.3636,3
336.6368,75.9057,14.0943,1329,-44.4091,3
336.2819,76.1780,13.8219,1304,-43.2727,3
335.9274,76.3155,13.6845,1278,-42.0909,3
335.8312,76.2198,13.7802,1356,-45.6364,3
335.1938,76.2250,13.7750,1388,-47.0909,3
334.3182,75.9399,14.0601,1374,-46.4545,3
333.5099,75.4388,14.5612,1370,-46.2727,3
332.0993,75.1696,14.8304,1366,-46.0909,3
330.4976,75.2147,14.7853,1347,-45.2273,3
328.7870,75.3935,14.6065,1348,-45.2727,3
327.4988,74.8073,15.1927,1314,-43.7273,3
326.4365,74.1676,15.8324,1312,-43.6364,3
325.3750,74.0267,15.9733,1325,-44.2273,3
324.6289,74.3855,15.6145,1327,-44.3182,3
323.2008,74.6429,15.3571,1327,-44.3182,3
321.9994,73.8752,16.1248,1330,-44.4545,3
320.6484,73.7652,16.2348,1344,-45.0909,3
318.7882,73.9214,16.0786,1360,-45.8182,3
316.5379,74.1107,15.8893,1388,-47.0909,3
314.6290,74.0087,15.9913,1353,-45.5000,3
312.8380,74.1932,15.8068,1306,-43.3636,3
311.1970,74.4041,15.5959,1252,-40.9091,3
309.9569,74.6540,15.3460,1195,-38.3182,3
308.5890,74.7961,15.2039,1252,-40.9091,3
307.1491,74.9960,15.0040,1269,-41.6818,3
305.7773,74.8662,15.1338,1274,-41.9091,3
304.7306,74.8937,15.1063,1272,-41.8182,3
303.6231,75.4935,14.5065,1255,-41.0455,3
302.6977,76.1926,13.8074,1274,-41.9091,3
301.7145,76.1771,13.8229,1257,-41.1364,3
300.3763,75.9104,14.0896,1242,-40.4545,3
299.0501,76.0168,13.9832,1234,-40.0909,3
297.8422,76.3374,13.6626,1225,-39.6818,3
297.0176,76.4079,13.5921,1225,-39.6818,3
295.9971,76.0474,13.9526,1255,-41.0455,3
294.5245,75.9417,14.0583,1284,-42.3636,3
293.2841,75.9552,14.0448,1285,-42.4091,3
292.2359,75.9557,14.0443,1260,-41.2727,3
291.3412,76.1829,13.8171,1275,-41.9545,3
290.8648,75.8618,14.1381,1244,-40.5455,3
290.3332,75.7023,14.2977,1211,-39.0455,3
289.5154,75.6883,14.3117,1198,-38.4545,3
288.6281,75.5206,14.4794,1201,-38.5909,3
287.9788,75.4818,14.5182,1203,-38.6818,3
287.1199,75.6606,14.3394,1213,-39.1364,3
286.2240,75.5021,14.4979,1173,-37.3182,3
285.4355,75.7203,14.2797,1148,-36.1818,3
284.2045,75.8707,14.1293,1127,-35.2273,3
282.6928,75.7657,14.2343,1117,-34.7727,3
281.1965,76.1866,13.8134,1131,-35.4091,3
280.2720,76.1260,13.8740,1116,-34.7273,3
278.8882,76.2518,13.7482,1099,-33.9545,3
277.5445,76.1347,13.8653,1111,-34.5000,3
276.2110,76.0261,13.9739,1138,-35.7273,3
275.0192,76.5052,13.4948,1188,-38.0000,3
273.8055,76.7521,13.2479,1151,-36.3182,3
272.6130,76.4285,13.5715,1146,-36.0909,3
271.6237,76.9197,13.0803,1224,-39.6364,3
270.8828,76.9047,13.0953,1203,-38.6818,3
270.3044,76.7180,13.2820,1187,-37.9545,3
269.1976,76.9637,13.0363,1211,-39.0455,3
268.4223,77.1755,12.8245,1214,-39.1818,3
267.6117,77.5731,12.4269,1253,-40.9545,3
266.5060,77.7235,12.2765,1282,-42.2727,3
265.0977,77.8009,12.1991,1301,-43.1364,3
263.5310,77.6634,12.3366,1280,-42.1818,3
262.3511,77.2392,12.7608,1322,-44.0909,3
261.0135,76.9508,13.0492,1335,-44.6818,3
259.1579,76.9785,13.0215,1339,-44.8636,3
257.8619,76.6536,13.3464,1359,-45.7727,3
256.8983,76.4661,13.5339,1354,-45.5455,3
255.4855,76.7475,13.2525,1339,-44.8636,3
254.9888,76.4422,13.5578,1340,-44.9091,3
254.3560,76.2592,13.7408,1347,-45.2273,3
253.0316,76.3503,13.6497,1339,-44.8636,3
251.6267,75.8890,14.1110,1327,-44.3182,3
250.1481,75.8859,14.1141,1342,-45.0000,3
248.3933,76.1176,13.8824,1331,-44.5000,3
246.9753,75.8064,14.1935,1324,-44.1818,3
245.4838,75.9560,14.0440,1323,-44.1364,3
244.3348,76.2109,13.7891,1297,-42.9545,3
242.6105,76.1412,13.8588,1317,-43.8636,3
