phi,theta,elev,mv,dbm,cal
0.5631,73.2102,16.7898,1273,-41.8636,3
0.5028,73.2334,16.7666,1267,-41.5909,3
0.4285,73.2573,16.7427,1279,-42.1364,3
0.4480,73.2149,16.7851,1273,-41.8636,3
0.4306,73.2224,16.7776,1303,-43.2273,3
0.4608,73.2855,16.7145,1258,-41.1818,3
0.4710,73.2716,16.7284,1275,-41.9545,3
0.5018,73.2703,16.7297,1296,-42.9091,3
0.4217,73.2803,16.7197,1296,-42.9091,3
0.3367,73.2967,16.7033,1270,-41.7273,3
0.4085,73.2946,16.7054,1300,-43.0909,3
0.5347,73.3817,16.6183,1300,-43.0909,3
0.4640,73.4400,16.5600,1300,-43.0909,3
0.4343,73.5315,16.4685,1318,-43.9091,3
0.3992,73.4968,16.5032,1318,-43.9091,3
0.3179,73.5930,16.4070,1315,-43.7727,3
0.1229,73.6265,16.3735,1319,-43.9545,3
359.5661,73.7147,16.2853,1285,-42.4091,3
358.5678,73.8125,16.1875,1293,-42.7727,3
357.4340,74.1251,15.8749,1315,-43.7727,3
356.4947,74.4324,15.5676,1289,-42.5909,3
355.6791,74.8427,15.1573,1301,-43.1364,3
355.0136,74.6470,15.3530,1309,-43.5000,3
354.2499,74.5132,15.4868,1295,-42.8636,3
353.3316,74.5962,15.4038,1286,-42.4545,3
352.3287,74.4871,15.5129,1296,-42.9091,3
351.1699,74.7533,15.2468,1288,-42.5455,3
349.7401,74.9755,15.0245,1286,-42.4545,3
348.4091,75.1875,14.8125,1373,-46.4091,3
347.5581,75.1929,14.8071,1344,-45.0909,3
346.7041,75.1906,14.8094,1334,-44.6364,3
345.4779,75.4628,14.5372,1339,-44.8636,3
344.3172,75.5900,14.4099,1351,-45.4091,3
343.3091,75.7096,14.2904,1358,-45.7273,3
342.2158,76.0077,13.9923,1359,-45.7727,3
341.2815,75.8406,14.1594,1365,-46.0455,3
340.8439,75.8354,14.1646,1348,-45.2727,3
340.3164,75.9676,14.0324,1356,-45.6364,3
339.7128,75.8796,14.1204,1350,-45.3636,3
339.2066,75.7567,14.2433,1331,-44.5000,3
338.8065,75.7701,14.2299,1334,-44.6364,3
338.5362,75.9333,14.0667,1347,-45.2273,3
338.1681,75.7371,14.2629,1346,-45.1818,3
338.0699,75.8604,14.1396,1351,-45.4091,3
337.9458,76.2642,13.7358,1350,-45.3636,3
337.4834,76.1570,13.8430,1351,-45.4091,3
336.9716,75.7298,14.2702,1356,-45.6364,3
336.3586,75.8076,14.1924,1354,-45.5455,3
335.4811,75.8097,14.1903,1352,-45.4545,3
334.7457,75.6624,14.3376,1359,-45.7727,3
334.0341,75.8172,14.1828,1358,-45.7273,3
333.2992,76.2158,13.7842,1355,-45.5909,3
332.6179,76.1073,13.8927,1348,-45.2727,3
332.0708,75.9135,14.0865,1345,-45.1364,3
331.4107,75.7407,14.2593,1346,-45.1818,3
330.5956,75.4619,14.5381,1357,-45.6818,3
329.7600,75.2214,14.7786,1368,-46.1818,3
328.7895,75.1284,14.8716,1362,-45.9091,3
327.9825,74.9058,15.0942,1375,-46.5000,3
327.6588,74.9715,15.0285,1370,-46.2727,3
327.3766,74.9024,15.0976,1366,-46.0909,3
327.3327,74.6584,15.3416,1369,-46.2273,3
327.4113,74.4964,15.5036,1380,-46.7273,3
327.5301,74.2450,15.7550,1394,-47.3636,3
327.5233,73.9940,16.0060,1339,-44.8636,3
327.2039,73.7319,16.2681,1374,-46.4545,3
326.7668,73.4516,16.5484,1346,-45.1818,3
326.1783,73.5240,16.4760,1334,-44.6364,3
325.3287,73.4132,16.5868,1319,-43.9545,3
324.3427,73.4270,16.5730,1295,-42.8636,3
323.6247,73.3670,16.6330,1289,-42.5909,3
322.7238,73.1340,16.8660,1280,-42.1818,3
321.6172,72.8357,17.1643,1279,-42.1364,3
320.4592,72.7457,17.2543,1275,-41.9545,3
319.4086,72.6565,17.3435,1272,-41.8182,3
318.1823,72.7210,17.2790,1260,-41.2727,3
317.1440,72.6988,17.3012,1249,-40.7727,3
316.1500,72.5089,17.4911,1237,-40.2273,3
314.8997,72.4603,17.5397,1233,-40.0455,3
313.8793,72.2896,17.7104,1229,-39.8636,3
312.9278,72.1587,17.8413,1230,-39.9091,3
312.3594,72.0340,17.9660,1240,-40.3636,3
311.6254,71.9743,18.0257,1246,-40.6364,3
310.5857,72.0104,17.9896,1250,-40.8182,3
309.2136,71.9488,18.0512,1234,-40.0909,3
308.1265,71.6120,18.3880,1230,-39.9091,3
307.0778,71.6324,18.3676,1244,-40.5455,3
306.0799,72.0259,17.9741,1260,-41.2727,3
305.7354,71.9794,18.0206,1266,-41.5455,3
304.7497,71.9842,18.0158,1260,-41.2727,3
303.8219,71.9381,18.0619,1264,-41.4545,3
302.3879,71.7282,18.2718,1270,-41.7273,3
301.4232,71.3502,18.6498,1251,-40.8636,3
299.9573,72.1075,17.8925,1247,-40.6818,3
298.9375,72.3177,17.6823,1254,-41.0000,3
297.5843,72.4049,17.5951,1284,-42.3636,3
295.7587,72.1714,17.8286,1296,-42.9091,3
294.2970,72.0898,17.9102,1299,-43.0455,3
293.2603,72.0094,17.9906,1302,-43.1818,3
292.2025,71.9726,18.0274,1294,-42.8182,3
290.9404,72.0065,17.9935,1256,-41.0909,3
289.5582,71.6677,18.3323,1262,-41.3636,3
289.0019,71.3918,18.6082,1283,-42.3182,3
288.6863,71.2642,18.7358,1277,-42.0455,3
288.4012,70.9296,19.0704,1275,-41.9545,3
288.0743,70.8094,19.1906,1267,-41.5909,3
287.6335,71.1596,18.8404,1250,-40.8182,3
287.1195,70.8206,19.1794,1244,-40.5455,3
286.2702,70.7244,19.2756,1229,-39.8636,3
284.8630,71.0491,18.9509,1218,-39.3636,3
283.5955,71.0017,18.9983,1236,-40.1818,3
282.2980,71.2715,18.7285,1239,-40.3182,3
281.0453,71.2624,18.7376,1239,-40.3182,3
280.0117,71.0942,18.9058,1227,-39.7727,3
279.1560,71.2868,18.7132,1247,-40.6818,3
278.3347,71.4569,18.5431,1245,-40.5909,3
277.4894,71.6007,18.3993,1263,-41.4091,3
276.7902,71.7729,18.2271,1290,-42.6364,3
275.9620,71.5934,18.4066,1299,-43.0455,3
275.0865,71.6054,18.3946,1310,-43.5455,3
274.4713,71.7520,18.2480,1309,-43.5000,3
273.9705,71.8540,18.1460,1293,-42.7727,3
273.2685,71.8550,18.1450,1309,-43.5000,3
272.5023,72.0241,17.9759,1302,-43.1818,3
271.9041,72.0796,17.9204,1208,-38.9091,3
271.2771,72.1521,17.8479,1238,-40.2727,3
270.8389,72.3496,17.6504,1241,-40.4091,3
270.3889,72.4949,17.5051,1260,-41.2727,3
269.9692,72.6508,17.3492,1262,-41.3636,3
269.5383,72.7975,17.2025,1260,-41.2727,3
269.3734,72.9408,17.0593,1249,-40.7727,3
268.9715,73.1909,16.8091,1277,-42.0455,3
268.3211,73.3358,16.6642,1268,-41.6364,3
267.5966,73.2129,16.7871,1246,-40.6364,3
266.7423,73.2721,16.7279,1230,-39.9091,3
265.8142,73.4022,16.5978,1226,-39.7273,3
264.9870,73.2126,16.7874,1233,-40.0455,3
264.3415,72.9479,17.0521,1221,-39.5000,3
263.2385,73.0065,16.9935,1231,-39.9545,3
262.4534,72.6591,17.3409,1260,-41.2727,3
261.4840,72.8194,17.1806,1270,-41.7273,3
260.6263,72.7461,17.2539,1281,-42.2273,3
259.8494,72.5886,17.4114,1289,-42.5909,3
258.8298,72.8045,17.1955,1280,-42.1818,3
258.2705,72.5565,17.4435,1257,-41.1364,3
257.8298,72.4368,17.5632,1263,-41.4091,3
257.6176,72.3337,17.6663,1284,-42.3636,3
257.3620,72.3640,17.6360,1291,-42.6818,3
257.0665,72.1049,17.8951,1300,-43.0909,3
256.6208,72.0140,17.9860,1301,-43.1364,3
255.9417,72.1119,17.8881,1276,-42.0000,3
255.2164,71.6560,18.3440,1263,-41.4091,3
254.0629,71.6482,18.3518,1284,-42.3636,3
253.0762,71.7727,18.2273,1305,-43.3182,3
251.9517,71.9886,18.0114,1313,-43.6818,3
250.9371,71.8711,18.1289,1327,-44.3182,3
250.1526,71.8262,18.1738,1336,-44.7273,3
249.2552,72.0658,17.9342,1342,-45.0000,3
248.3866,72.2233,17.7767,1334,-44.6364,3
247.6899,72.3097,17.6903,1310,-43.5455,3
247.0191,72.4269,17.5731,1320,-44.0000,3
246.4605,72.3322,17.6678,1322,-44.0909,3
245.7866,72.4000,17.6000,1322,-44.0909,3
244.7414,72.5331,17.4670,1322,-44.0909,3
243.8045,72.6369,17.3631,1340,-44.9091,3
242.7442,72.9678,17.0322,1212,-39.0909,3
241.9759,73.1851,16.8149,1333,-44.5909,3
241.3610,73.5231,16.4769,1311,-43.5909,3
240.4802,73.8171,16.1829,1315,-43.7727,3
239.7258,73.8148,16.1852,1333,-44.5909,3
238.7947,74.0870,15.9130,1335,-44.6818,3
237.6415,74.2379,15.7621,1335,-44.6818,3
236.7189,73.9097,16.0903,1320,-44.0000,3
235.3026,74.1168,15.8832,1324,-44.1818,3
233.8692,73.9890,16.0110,1330,-44.4545,3
232.5461,73.8818,16.1182,1327,-44.3182,3
231.5161,74.1010,15.8990,1333,-44.5909,3
230.9781,73.6051,16.3949,1371,-46.3182,3
229.8945,73.7131,16.2869,1383,-46.8636,3
229.2058,73.6322,16.3678,1255,-41.0455,3
228.6803,73.4955,16.5045,1401,-47.6818,3
228.1533,73.6901,16.3099,1410,-48.0909,3
227.7714,73.5010,16.4990,1417,-48.4091,3
227.0897,73.5979,16.4021,1421,-48.5909,3
226.3815,73.3772,16.6228,1410,-48.0909,3
225.3586,73.2623,16.7377,1423,-48.6818,3
223.9752,73.5694,16.4306,1440,-49.4545,3
222.7831,73.4173,16.5827,1418,-48.4545,3
221.6245,73.3696,16.6304,1410,-48.0909,3
219.9774,73.6175,16.3825,1406,-47.9091,3
218.7489,73.4644,16.5356,1408,-48.0000,3
