phi,theta,elev,mv,dbm,cal
358.3062,88.2448,1.7552,1221,-39.5000,3
358.3243,88.2169,1.7831,1250,-40.8182,3
358.4518,88.2172,1.7828,1238,-40.2727,3
358.7571,88.3367,1.6633,1254,-41.0000,3
358.6526,88.5137,1.4863,1235,-40.1364,3
358.5095,88.5505,1.4495,1240,-40.3636,3
358.6853,88.6803,1.3197,1172,-37.2727,3
358.6504,88.6457,1.3543,1222,-39.5455,3
358.5439,88.5554,1.4446,1239,-40.3182,3
358.6687,88.6078,1.3922,1225,-39.6818,3
358.6290,88.5882,1.4118,1253,-40.9545,3
358.7374,88.6587,1.3413,1261,-41.3182,3
358.6838,88.7138,1.2862,1250,-40.8182,3
358.8445,88.8187,1.1813,1245,-40.5909,3
358.8561,88.8967,1.1033,1234,-40.0909,3
358.7383,88.9063,1.0937,1247,-40.6818,3
358.8027,88.9104,1.0896,1246,-40.6364,3
358.8120,88.8713,1.1287,1242,-40.4545,3
358.9323,88.9269,1.0731,1236,-40.1818,3
359.0057,88.9126,1.0874,1235,-40.1364,3
358.9368,88.8617,1.1383,1207,-38.8636,3
358.9029,88.8455,1.1545,1255,-41.0455,3
358.8923,88.8571,1.1429,1256,-41.0909,3
358.9899,88.8587,1.1413,1235,-40.1364,3
358.8934,88.6769,1.3231,1211,-39.0455,3
359.0475,88.3190,1.6810,1233,-40.0455,3
359.0478,87.9365,2.0635,1265,-41.5000,3
358.9026,87.6236,2.3764,1225,-39.6818,3
358.7595,86.8574,3.1426,1211,-39.0455,3
359.0929,87.0365,2.9635,1243,-40.5000,3
359.0768,86.4895,3.5105,1200,-38.5455,3
358.7963,85.9221,4.0779,1222,-39.5455,3
358.9277,85.5317,4.4683,1237,-40.2273,3
358.9422,85.0319,4.9681,1229,-39.8636,3
358.8721,84.3429,5.6571,1228,-39.8182,3
359.1996,84.9288,5.0712,1237,-40.2273,3
359.3916,84.6947,5.3053,1237,-40.2273,3
359.3095,84.8565,5.1435,1267,-41.5909,3
359.2577,84.8885,5.1115,1258,-41.1818,3
359.3711,84.5019,5.4981,1234,-40.0909,3
359.7117,84.6725,5.3275,1257,-41.1364,3
359.7228,84.7255,5.2745,1288,-42.5455,3
359.6356,84.7106,5.2894,1239,-40.3182,3
359.7486,84.8268,5.1732,1223,-39.5909,3
359.4222,84.3710,5.6290,1278,-42.0909,3
359.0411,84.1833,5.8167,1296,-42.9091,3
359.0515,84.2160,5.7840,1281,-42.2273,3
358.7378,83.9140,6.0860,1249,-40.7727,3
358.6167,83.5239,6.4761,1247,-40.6818,3
358.8257,83.5337,6.4663,1247,-40.6818,3
358.5150,82.9847,7.0153,1271,-41.7727,3
358.6329,82.8774,7.1226,1229,-39.8636,3
358.6367,82.9658,7.0342,1240,-40.3636,3
358.2956,82.8550,7.1450,1238,-40.2727,3
358.1514,82.8381,7.1619,1251,-40.8636,3
358.1353,82.5642,7.4358,1243,-40.5000,3
357.8766,81.9288,8.0712,1259,-41.2273,3
357.2410,80.9906,9.0094,1260,-41.2727,3
357.5246,81.1970,8.8030,1260,-41.2727,3
357.5919,81.2458,8.7542,1274,-41.9091,3
357.6454,81.3505,8.6495,1256,-41.0909,3
357.8008,81.4565,8.5435,1242,-40.4545,3
357.6581,81.1933,8.8067,1254,-41.0000,3
357.5383,81.1748,8.8252,1207,-38.8636,3
357.5844,80.9892,9.0108,1196,-38.3636,3
357.3943,81.0912,8.9088,1278,-42.0909,3
357.1825,80.7510,9.2490,1259,-41.2273,3
357.1211,80.5225,9.4775,1229,-39.8636,3
357.2112,80.7586,9.2414,1192,-38.1818,3
357.0405,80.6861,9.3139,1270,-41.7273,3
356.8577,80.4969,9.5031,1233,-40.0455,3
356.8211,80.5327,9.4673,1274,-41.9091,3
356.5976,80.2327,9.7673,1254,-41.0000,3
356.4311,80.0276,9.9724,1259,-41.2273,3
356.4816,79.8343,10.1657,1244,-40.5455,3
356.1917,79.6663,10.3337,1266,-41.5455,3
355.8882,79.3028,10.6972,1265,-41.5000,3
355.8869,79.2352,10.7648,1283,-42.3182,3
355.5979,79.1227,10.8773,1272,-41.8182,3
355.3534,79.0580,10.9420,1271,-41.7727,3
355.1913,78.7121,11.2879,1231,-39.9545,3
355.5763,78.7947,11.2053,1276,-42.0000,3
355.7274,78.4103,11.5897,1216,-39.2727,3
355.5055,77.9688,12.0312,1247,-40.6818,3
355.5576,77.7228,12.2772,1224,-39.6364,3
355.7289,77.6006,12.3994,1226,-39.7273,3
