phi,theta,elev,mv,dbm,cal
352.5005,82.9373,7.0627,1291,-42.6818,3
352.4973,82.9820,7.0180,1231,-39.9545,3
352.4494,83.0107,6.9893,1288,-42.5455,3
352.4048,83.1101,6.8899,1247,-40.6818,3
352.3096,83.1182,6.8817,1203,-38.6818,3
352.2958,83.2962,6.7038,1236,-40.1818,3
352.1527,83.3014,6.6986,1243,-40.5000,3
352.1916,83.3450,6.6550,1253,-40.9545,3
352.1942,83.3504,6.6496,1201,-38.5909,3
352.1245,83.2824,6.7176,1281,-42.2273,3
352.1484,83.3188,6.6812,1175,-37.4091,3
352.1511,83.3250,6.6750,1253,-40.9545,3
352.1177,83.3568,6.6432,1249,-40.7727,3
352.0265,83.5534,6.4466,1291,-42.6818,3
352.0739,83.5324,6.4676,1302,-43.1818,3
352.1657,83.5448,6.4552,1278,-42.0909,3
352.1920,83.4563,6.5437,1231,-39.9545,3
352.2557,83.5063,6.4937,1293,-42.7727,3
352.2863,83.4774,6.5226,1308,-43.4545,3
352.2817,83.5164,6.4836,1306,-43.3636,3
352.3496,83.6187,6.3813,1306,-43.3636,3
352.4359,83.6412,6.3588,1205,-38.7727,3
352.3767,83.6020,6.3980,1225,-39.6818,3
352.4281,83.6500,6.3500,1288,-42.5455,3
352.4954,83.6949,6.3051,1241,-40.4091,3
352.4614,83.8032,6.1968,1280,-42.1818,3
352.3279,83.7088,6.2912,1261,-41.3182,3
352.2356,83.5871,6.4130,1268,-41.6364,3
352.2842,83.4835,6.5165,1239,-40.3182,3
352.4583,83.3982,6.6018,1265,-41.5000,3
352.7688,83.2183,6.7817,1272,-41.8182,3
352.9700,83.3535,6.6465,1259,-41.2273,3
352.9530,83.4753,6.5247,1177,-37.5000,3
352.7348,83.6685,6.3314,1189,-38.0455,3
352.7571,83.6332,6.3668,1179,-37.5909,3
352.4942,83.6068,6.3932,1280,-42.1818,3
352.1918,83.4663,6.5337,1246,-40.6364,3
352.2074,83.6204,6.3796,1223,-39.5909,3
352.2772,83.6743,6.3257,1229,-39.8636,3
352.3181,83.8762,6.1238,1284,-42.3636,3
