phi,theta,elev,mv,dbm,cal
2.5697,72.9735,17.0265,1356,-45.6364,3
2.6663,72.9327,17.0673,1380,-46.7273,3
2.7634,73.0600,16.9400,1382,-46.8182,3
2.5817,72.9942,17.0058,1339,-44.8636,3
2.4699,73.0806,16.9194,1315,-43.7727,3
2.4418,73.2812,16.7188,1317,-43.8636,3
2.4845,73.3660,16.6340,1260,-41.2727,3
2.6390,73.3650,16.6350,1273,-41.8636,3
2.7976,73.3863,16.6137,1207,-38.8636,3
2.7893,73.3915,16.6085,1207,-38.8636,3
2.7594,73.2905,16.7095,1305,-43.3182,3
2.7606,73.3274,16.6726,1315,-43.7727,3
2.7903,73.3193,16.6807,1264,-41.4545,3
2.5207,72.7936,17.2064,1323,-44.1364,3
2.5984,72.2862,17.7138,1286,-42.4545,3
3.1599,71.9145,18.0855,1286,-42.4545,3
2.6629,70.7627,19.2373,1334,-44.6364,3
2.2136,70.2387,19.7613,1322,-44.0909,3
2.0964,70.3989,19.6011,1263,-41.4091,3
2.1728,69.7753,20.2247,1307,-43.4091,3
2.1249,68.5464,21.4536,1213,-39.1364,3
1.6324,67.6214,22.3786,1314,-43.7273,3
0.9954,66.7563,23.2437,1243,-40.5000,3
1.4572,65.6883,24.3117,1288,-42.5455,3
1.4614,64.5878,25.4122,1324,-44.1818,3
1.2963,63.6257,26.3743,1327,-44.3182,3
0.5418,62.2115,27.7885,1345,-45.1364,3
359.7960,61.2523,28.7477,1317,-43.8636,3
0.1084,60.8757,29.1243,1263,-41.4091,3
359.4047,60.1926,29.8074,1314,-43.7273,3
359.5125,59.8200,30.1800,1314,-43.7273,3
0.5502,59.5296,30.4704,1323,-44.1364,3
0.7979,58.3006,31.6994,1349,-45.3182,3
0.5523,56.7012,33.2988,1245,-40.5909,3
0.6964,55.9931,34.0069,1325,-44.2273,3
0.6303,55.6359,34.3641,1295,-42.8636,3
0.8454,55.7519,34.2481,1311,-43.5909,3
1.7231,56.5367,33.4633,1251,-40.8636,3
2.0381,56.1760,33.8240,1305,-43.3182,3
1.6156,55.3383,34.6617,1270,-41.7273,3
2.0235,55.2774,34.7226,1301,-43.1364,3
2.7073,55.5750,34.4250,1324,-44.1818,3
2.6024,55.2277,34.7723,1318,-43.9091,3
2.5285,54.6398,35.3602,1285,-42.4091,3
1.9418,54.2289,35.7711,1363,-45.9545,3
1.9796,54.2291,35.7709,1282,-42.2727,3
2.6687,54.1275,35.8725,1366,-46.0909,3
2.7460,53.4629,36.5371,1355,-45.5909,3
2.7622,53.0011,36.9989,1237,-40.2273,3
2.6668,52.6826,37.3174,1335,-44.6818,3
3.3702,52.9333,37.0667,1256,-41.0909,3
3.6682,52.9046,37.0954,1271,-41.7727,3
3.4048,52.5735,37.4265,1340,-44.9091,3
3.6809,52.7194,37.2806,1217,-39.3182,3
3.7206,52.6492,37.3508,1343,-45.0455,3
4.3098,52.7322,37.2678,1288,-42.5455,3
4.6728,52.9267,37.0733,1381,-46.7727,3
5.3186,53.1758,36.8242,1289,-42.5909,3
6.1697,53.1589,36.8411,1312,-43.6364,3
6.6193,53.1994,36.8006,1351,-45.4091,3
6.0591,53.1035,36.8965,1196,-38.3636,3
5.5518,53.1433,36.8567,1300,-43.0909,3
4.2967,54.2464,35.7536,1262,-41.3636,3
3.4916,56.5592,33.4408,1200,-38.5455,3
3.5796,60.1390,29.8610,1310,-43.5455,3
5.6049,64.8968,25.1032,1100,-34.0000,3
6.7427,69.1012,20.8988,1334,-44.6364,3
7.5253,70.1312,19.8688,1267,-41.5909,3
8.2516,69.8394,20.1606,1273,-41.8636,3
8.3724,69.7785,20.2215,1256,-41.0909,3
9.5925,70.4267,19.5733,1322,-44.0909,3
11.0749,69.5918,20.4082,1364,-46.0000,3
11.7129,66.9364,23.0636,1312,-43.6364,3
11.6375,65.1151,24.8849,1287,-42.5000,3
11.3475,65.7870,24.2130,1365,-46.0455,3
11.9626,67.8712,22.1288,1281,-42.2273,3
11.8862,68.9545,21.0455,1317,-43.8636,3
11.8132,69.1310,20.8690,1343,-45.0455,3
11.4928,69.1880,20.8120,1261,-41.3182,3
11.5991,69.3535,20.6465,1183,-37.7727,3
11.5118,69.1995,20.8005,1378,-46.6364,3
11.2367,68.9796,21.0204,1386,-47.0000,3
