phi,theta,elev,mv,dbm,cal
1.1137,72.3866,17.6134,1314,-43.7273,3
1.1779,72.4644,17.5356,1164,-36.9091,3
1.2142,72.3624,17.6376,1299,-43.0455,3
1.3112,72.3001,17.6999,1213,-39.1364,3
1.3656,72.2696,17.7304,1265,-41.5000,3
1.4340,72.2347,17.7653,1266,-41.5455,3
1.3840,72.2466,17.7534,1271,-41.7727,3
1.2711,72.3258,17.6742,1251,-40.8636,3
1.1480,72.1478,17.8522,1347,-45.2273,3
1.0328,72.0701,17.9299,1243,-40.5000,3
1.0376,72.0146,17.9854,1278,-42.0909,3
0.9225,72.1257,17.8743,1242,-40.4545,3
0.7537,72.4271,17.5729,1250,-40.8182,3
0.2165,72.7843,17.2157,1160,-36.7273,3
0.0731,72.7480,17.2520,1166,-37.0000,3
359.4525,72.6608,17.3392,1279,-42.1364,3
358.1646,72.4330,17.5670,1165,-36.9545,3
356.8117,72.2224,17.7777,1201,-38.5909,3
355.0903,72.1626,17.8374,1208,-38.9091,3
353.5006,72.5866,17.4134,1190,-38.0909,3
352.3127,72.7847,17.2153,1223,-39.5909,3
350.9464,72.9224,17.0776,1197,-38.4091,3
349.7926,72.7016,17.2984,1212,-39.0909,3
348.3752,72.9254,17.0746,1234,-40.0909,3
346.8562,73.0843,16.9157,1177,-37.5000,3
345.7967,72.6392,17.3608,1194,-38.2727,3
344.5068,72.4480,17.5520,1156,-36.5455,3
342.7177,72.5761,17.4239,1202,-38.6364,3
341.2368,72.7216,17.2784,1179,-37.5909,3
339.9836,73.1315,16.8685,1202,-38.6364,3
338.9569,73.1724,16.8276,1144,-36.0000,3
338.1820,73.2809,16.7191,1204,-38.7273,3
338.0067,73.1595,16.8405,1199,-38.5000,3
337.4675,73.2771,16.7229,1169,-37.1364,3
336.5178,73.3612,16.6388,1210,-39.0000,3
335.9228,72.9817,17.0183,1189,-38.0455,3
335.3487,72.8230,17.1770,1180,-37.6364,3
334.5375,72.6559,17.3441,1185,-37.8636,3
333.9861,72.6849,17.3151,1161,-36.7727,3
333.4552,73.1043,16.8957,1116,-34.7273,3
332.7495,73.2835,16.7165,1118,-34.8182,3
331.9801,73.0086,16.9914,1158,-36.6364,3
330.8227,72.4242,17.5758,1160,-36.7273,3
329.5144,72.3895,17.6105,1185,-37.8636,3
328.5981,72.2306,17.7694,1157,-36.5909,3
327.0457,72.5079,17.4921,1185,-37.8636,3
326.0624,72.0384,17.9616,1203,-38.6818,3
325.1223,72.0283,17.9718,1186,-37.9091,3
324.3168,71.9767,18.0233,1244,-40.5455,3
323.7289,71.5844,18.4156,1248,-40.7273,3
323.1202,70.9284,19.0716,1282,-42.2727,3
322.8039,70.7235,19.2765,1253,-40.9545,3
322.5851,70.7929,19.2071,1230,-39.9091,3
322.0432,70.8071,19.1929,1222,-39.5455,3
321.3191,71.0365,18.9635,1332,-44.5455,3
320.9525,70.5700,19.4300,1295,-42.8636,3
319.4923,70.6329,19.3671,1259,-41.2273,3
317.9736,70.2612,19.7388,1222,-39.5455,3
316.6601,69.8830,20.1170,1254,-41.0000,3
315.0912,70.3358,19.6642,1281,-42.2273,3
313.4917,70.4940,19.5060,1281,-42.2273,3
312.3052,70.3077,19.6923,1259,-41.2273,3
311.2950,70.4060,19.5940,1263,-41.4091,3
310.4030,70.1103,19.8897,1231,-39.9545,3
309.4177,69.5876,20.4124,1281,-42.2273,3
308.1958,69.3820,20.6179,1258,-41.1818,3
307.0974,69.5403,20.4597,1258,-41.1818,3
306.2961,69.4170,20.5830,1264,-41.4545,3
305.0649,69.3771,20.6229,1271,-41.7727,3
304.1959,69.0624,20.9376,1214,-39.1818,3
303.6033,68.8371,21.1629,1266,-41.5455,3
302.8756,68.8939,21.1061,1272,-41.8182,3
302.3089,68.8749,21.1251,1275,-41.9545,3
301.4057,69.1273,20.8727,1294,-42.8182,3
300.7555,69.2649,20.7351,1254,-41.0000,3
300.1234,69.0835,20.9165,1254,-41.0000,3
299.4327,69.3576,20.6424,1246,-40.6364,3
298.5884,70.0754,19.9246,1241,-40.4091,3
297.9305,69.6694,20.3306,1328,-44.3636,3
296.8709,69.5559,20.4441,1321,-44.0455,3
296.0020,69.6609,20.3391,1312,-43.6364,3
295.1537,69.4812,20.5188,1219,-39.4091,3
294.0283,69.4143,20.5857,1231,-39.9545,3
292.7371,69.3997,20.6003,1201,-38.5909,3
291.3924,69.2579,20.7421,1294,-42.8182,3
290.2722,69.0274,20.9726,1294,-42.8182,3
289.5099,69.1516,20.8484,1301,-43.1364,3
289.0389,69.2645,20.7355,1306,-43.3636,3
288.1006,68.6740,21.3260,1341,-44.9545,3
286.9443,68.5002,21.4998,1353,-45.5000,3
285.5919,68.4055,21.5945,1280,-42.1818,3
283.4810,68.6835,21.3165,1195,-38.3182,3
281.7816,68.1720,21.8280,1170,-37.1818,3
280.0197,68.6339,21.3661,1135,-35.5909,3
278.6316,68.4689,21.5311,1224,-39.6364,3
277.2266,68.4860,21.5140,1231,-39.9545,3
275.6616,69.0245,20.9755,1233,-40.0455,3
274.7849,68.7632,21.2368,1223,-39.5909,3
273.7134,69.0839,20.9161,1209,-38.9545,3
272.7849,69.1930,20.8070,1216,-39.2727,3
271.8384,69.0939,20.9061,1261,-41.3182,3
270.9574,69.1771,20.8229,1233,-40.0455,3
269.7481,69.5416,20.4584,1228,-39.8182,3
268.9152,69.5018,20.4982,1163,-36.8636,3
267.9457,69.3919,20.6081,1160,-36.7273,3
266.5329,69.5071,20.4929,1222,-39.5455,3
264.6693,69.5056,20.4944,1229,-39.8636,3
263.4402,68.9808,21.0192,1225,-39.6818,3
262.6132,68.9368,21.0632,1164,-36.9091,3
261.5972,69.1590,20.8410,1137,-35.6818,3
260.4362,69.1444,20.8556,1201,-38.5909,3
259.5079,68.8547,21.1453,1156,-36.5455,3
258.7555,69.0905,20.9095,1133,-35.5000,3
258.2267,69.1832,20.8168,1171,-37.2273,3
257.0803,69.1780,20.8220,1175,-37.4091,3
256.1452,69.1792,20.8208,1257,-41.1364,3
254.9404,69.4653,20.5347,1286,-42.4545,3
253.6971,69.0481,20.9519,1234,-40.0909,3
251.9964,69.1387,20.8613,1245,-40.5909,3
250.4789,69.1288,20.8712,1179,-37.5909,3
248.8265,69.1828,20.8172,1284,-42.3636,3
247.3420,69.2151,20.7849,1302,-43.1818,3
245.9641,69.7030,20.2970,1244,-40.5455,3
244.8000,69.9523,20.0477,1249,-40.7727,3
243.9120,69.8011,20.1989,1220,-39.4545,3
242.6129,69.9115,20.0885,1242,-40.4545,3
241.7108,69.8143,20.1857,1307,-43.4091,3
241.1515,69.6949,20.3051,1178,-37.5455,3
240.1087,69.3438,20.6563,1299,-43.0455,3
239.0166,69.4498,20.5502,1233,-40.0455,3
237.8779,70.0521,19.9479,1226,-39.7273,3
236.4830,69.9144,20.0856,1323,-44.1364,3
234.9843,70.1234,19.8766,1258,-41.1818,3
233.6382,70.3033,19.6967,1258,-41.1818,3
232.6671,70.1979,19.8021,1262,-41.3636,3
