phi,theta,elev,mv,dbm,cal
353.5803,172.8492,-82.8492,1522,-40.4800,3
354.5097,172.9116,-82.9116,1523,-40.5200,3
353.3309,173.0910,-83.0910,1522,-40.4800,3
352.3065,173.0729,-83.0729,1523,-40.5200,3
352.7224,172.9454,-82.9454,1501,-39.6400,3
353.0744,172.8044,-82.8044,1523,-40.5200,3
352.4590,172.8374,-82.8374,1524,-40.5600,3
353.3700,173.0052,-83.0052,1522,-40.4800,3
353.0027,172.9716,-82.9716,1523,-40.5200,3
351.8291,172.9831,-82.9831,1524,-40.5600,3
352.4806,172.8130,-82.8130,1524,-40.5600,3
352.5606,172.8259,-82.8259,1522,-40.4800,3
352.8970,172.8491,-82.8491,1524,-40.5600,3
353.9778,172.7652,-82.7652,1524,-40.5600,3
1.2714,172.1852,-82.1852,1524,-40.5600,3
0.7642,172.5423,-82.5423,1524,-40.5600,3
0.0383,172.9310,-82.9310,1525,-40.6000,3
3.2862,172.9462,-82.9462,1525,-40.6000,3
6.2103,173.1058,-83.1058,1511,-40.0400,3
12.7846,173.0842,-83.0842,1523,-40.5200,3
20.1755,173.6152,-83.6152,1523,-40.5200,3
28.0544,174.3802,-84.3802,1523,-40.5200,3
49.3089,174.9933,-84.9933,1524,-40.5600,3
51.9379,174.9920,-84.9920,1522,-40.4800,3
48.3447,174.8470,-84.8470,1522,-40.4800,3
52.5864,174.6789,-84.6789,1524,-40.5600,3
57.0060,174.2347,-84.2347,1523,-40.5200,3
53.0511,174.2677,-84.2677,1523,-40.5200,3
38.3813,174.6278,-84.6278,1522,-40.4800,3
20.6752,173.5242,-83.5242,1525,-40.6000,3
16.9510,170.7413,-80.7413,1523,-40.5200,3
22.9642,165.9950,-75.9950,1522,-40.4800,3
27.4659,159.1330,-69.1330,1461,-38.0400,3
19.6252,145.3721,-55.3721,1522,-40.4800,3
13.4559,137.3989,-47.3989,1523,-40.5200,3
0.6696,145.4036,-55.4036,1524,-40.5600,3
10.0148,147.5521,-57.5521,1524,-40.5600,3
19.5415,139.9418,-49.9418,1525,-40.6000,3
18.7803,136.7159,-46.7159,1523,-40.5200,3
16.0107,135.5073,-45.5073,1524,-40.5600,3
341.9928,139.2238,-49.2238,1523,-40.5200,3
337.7593,142.4441,-52.4441,1524,-40.5600,3
337.7600,144.5140,-54.5140,1524,-40.5600,3
334.9184,143.8746,-53.8746,1524,-40.5600,3
335.8332,144.5159,-54.5159,1523,-40.5200,3
336.3134,143.0727,-53.0727,1523,-40.5200,3
336.4329,139.2331,-49.2331,1524,-40.5600,3
337.9485,138.6186,-48.6186,1524,-40.5600,3
340.0709,140.3433,-50.3433,1523,-40.5200,3
339.5981,140.1033,-50.1033,1525,-40.6000,3
341.0913,141.2995,-51.2995,1523,-40.5200,3
342.7592,141.9738,-51.9738,1524,-40.5600,3
344.3874,140.8507,-50.8507,1523,-40.5200,3
345.9052,139.9039,-49.9039,1523,-40.5200,3
346.1021,138.4335,-48.4335,1523,-40.5200,3
348.4962,138.4706,-48.4706,1522,-40.4800,3
350.9996,138.7045,-48.7045,1524,-40.5600,3
352.0306,139.1593,-49.1593,1524,-40.5600,3
351.1285,139.5609,-49.5609,1524,-40.5600,3
350.3197,139.3251,-49.3251,1523,-40.5200,3
351.1848,139.6232,-49.6232,1525,-40.6000,3
351.3141,138.8133,-48.8133,1516,-40.2400,3
352.5760,139.0219,-49.0219,1525,-40.6000,3
352.9721,138.6721,-48.6721,1523,-40.5200,3
353.3134,138.3656,-48.3656,1523,-40.5200,3
353.8826,138.3363,-48.3363,1520,-40.4000,3
